,NUE US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-09-29,2.7169
2022-09-30,2.7368
2022-10-01,2.7368
2022-10-02,2.7368
2022-10-03,2.8991
2022-10-04,3.0092
2022-10-05,2.9769
2022-10-06,2.9761
2022-10-07,2.9141
2022-10-08,2.9141
2022-10-09,2.9141
2022-10-10,2.9818
2022-10-11,2.9993
2022-10-12,3.0092
2022-10-13,3.1129
2022-10-14,2.9959
2022-10-15,2.9959
2022-10-16,2.9959
2022-10-17,3.0707
2022-10-18,3.1231
2022-10-19,3.0663
2022-10-20,3.1332
2022-10-21,3.3685
2022-10-22,3.3685
2022-10-23,3.3685
2022-10-24,3.3506
2022-10-25,3.3895
2022-10-26,3.4007
2022-10-27,3.3671
2022-10-28,3.334
2022-10-29,3.334
2022-10-30,3.334
2022-10-31,3.2761
2022-11-01,3.345
2022-11-02,3.2172
2022-11-03,3.2184
2022-11-04,3.3242
2022-11-05,3.3242
2022-11-06,3.3242
2022-11-07,3.341
2022-11-08,3.3448
2022-11-09,3.2112
2022-11-10,3.3836
2022-11-11,3.3778
2022-11-12,3.3778
2022-11-13,3.3778
2022-11-14,3.4523
2022-11-15,3.4924
2022-11-16,3.4393
2022-11-17,3.4501
2022-11-18,3.4486
2022-11-19,3.4486
2022-11-20,3.4486
2022-11-21,3.6005
2022-11-22,3.6679
2022-11-23,3.6154
2022-11-24,3.6154
2022-11-25,3.6037
2022-11-26,3.6037
2022-11-27,3.6037
2022-11-28,3.5678
2022-11-29,3.5561
2022-11-30,3.6202
2022-12-01,3.605
2022-12-02,3.7123
2022-12-03,3.7123
2022-12-04,3.7123
2022-12-05,3.6432
2022-12-06,3.6859
2022-12-07,3.617
2022-12-08,3.6397
2022-12-09,3.5578
2022-12-10,3.5578
2022-12-11,3.5578
2022-12-12,3.5793
2022-12-13,3.6094
2022-12-14,3.5765
2022-12-15,3.2768
2022-12-16,3.266
2022-12-17,3.266
2022-12-18,3.266
2022-12-19,3.2261
2022-12-20,3.274
2022-12-21,3.3494
2022-12-22,3.3377
2022-12-23,3.3197
2022-12-24,3.3197
2022-12-25,3.3197
2022-12-26,3.3197
2022-12-27,3.3297
2022-12-28,3.2788
2022-12-29,3.2651
2022-12-30,3.5656
2022-12-31,3.5656
2023-01-01,3.5656
2023-01-02,3.5656
2023-01-03,3.5024
2023-01-04,3.6469
2023-01-05,3.6481
2023-01-06,3.8154
2023-01-07,3.8154
2023-01-08,3.8154
2023-01-09,3.7458
2023-01-10,3.9912
2023-01-11,4.0724
2023-01-12,4.1018
2023-01-13,4.1468
2023-01-14,4.1468
2023-01-15,4.1468
2023-01-16,4.1468
2023-01-17,4.0877
2023-01-18,4.0201
2023-01-19,3.9824
2023-01-20,4.0474
2023-01-21,4.0474
2023-01-22,4.0474
2023-01-23,4.0566
2023-01-24,4.061
2023-01-25,4.1252
2023-01-26,4.4449
2023-01-27,4.3732
2023-01-28,4.3732
2023-01-29,4.3732
2023-01-30,4.361
2023-01-31,4.4255
2023-02-01,4.5704
2023-02-02,4.6118
2023-02-03,4.6105
2023-02-04,4.6105
2023-02-05,4.6105
2023-02-06,4.4462
2023-02-07,4.3807
2023-02-08,4.3596
2023-02-09,4.2934
2023-02-10,4.3061
2023-02-11,4.3061
2023-02-12,4.3061
2023-02-13,4.3912
2023-02-14,4.48
2023-02-15,4.4513
2023-02-16,4.4449
2023-02-17,4.4024
2023-02-18,4.4024
2023-02-19,4.4024
2023-02-20,4.4024
2023-02-21,4.2922
2023-02-22,4.2905
2023-02-23,4.2862
2023-02-24,4.2677
2023-02-25,4.2677
2023-02-26,4.2677
2023-02-27,4.3102
