,TTC US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-03-11,20.1568
2022-03-12,20.1568
2022-03-13,20.1568
2022-03-14,20.3323
2022-03-15,20.7434
2022-03-16,20.8545
2022-03-17,21.1011
2022-03-18,21.5166
2022-03-19,21.5166
2022-03-20,21.5166
2022-03-21,21.3989
2022-03-22,21.2678
2022-03-23,21.0989
2022-03-24,21.3055
2022-03-25,21.2878
2022-03-26,21.2878
2022-03-27,21.2878
2022-03-28,21.2478
2022-03-29,21.5966
2022-03-30,21.2744
2022-03-31,21.0789
2022-04-01,21.3033
2022-04-02,21.3033
2022-04-03,21.3033
2022-04-04,21.5899
2022-04-05,21.41
2022-04-06,20.5967
2022-04-07,20.9611
2022-04-08,21.1589
2022-04-09,21.1589
2022-04-10,21.1589
2022-04-11,21.1189
2022-04-12,21.3122
2022-04-13,21.0345
2022-04-14,20.61
2022-04-15,20.61
2022-04-16,20.61
2022-04-17,20.61
2022-04-18,20.5167
2022-04-19,21.0611
2022-04-20,21.2189
2022-04-21,20.9656
2022-04-22,20.6456
2022-04-23,20.6456
2022-04-24,20.6456
2022-04-25,20.7634
2022-04-26,20.4167
2022-04-27,20.2168
2022-04-28,20.2745
2022-04-29,20.1639
2022-04-30,20.1639
2022-05-01,20.1639
2022-05-02,20.3251
2022-05-03,20.5522
2022-05-04,21.0131
2022-05-05,20.4841
2022-05-06,20.0776
2022-05-07,20.0776
2022-05-08,20.0776
2022-05-09,20.1253
2022-05-10,19.8778
2022-05-11,19.4305
2022-05-12,19.8914
2022-05-13,20.1276
2022-05-14,20.1276
2022-05-15,20.1276
2022-05-16,19.8165
2022-05-17,20.2116
2022-05-18,19.3646
2022-05-19,19.6167
2022-05-20,19.1421
2022-05-21,19.1421
2022-05-22,19.1421
2022-05-23,19.2715
2022-05-24,19.4464
2022-05-25,19.9187
2022-05-26,20.341
2022-05-27,20.7384
2022-05-28,20.7384
2022-05-29,20.7384
2022-05-30,20.7384
2022-05-31,20.6998
2022-06-01,20.3592
2022-06-02,21.3759
2022-06-03,21.5803
2022-06-04,21.5803
2022-06-05,21.5803
2022-06-06,21.7393
2022-06-07,21.787
2022-06-08,20.8035
2022-06-09,20.7467
2022-06-10,20.3697
2022-06-11,20.3697
2022-06-12,20.3697
2022-06-13,19.9108
2022-06-14,19.795
2022-06-15,20.0539
2022-06-16,19.0273
2022-06-17,19.0613
2022-06-18,19.0613
2022-06-19,19.0613
2022-06-20,19.0613
2022-06-21,18.7388
2022-06-22,19.0659
2022-06-23,19.1317
2022-06-24,19.9176
2022-06-25,19.9176
2022-06-26,19.9176
2022-06-27,19.8154
2022-06-28,19.4293
2022-06-29,19.2612
2022-06-30,19.184
2022-07-01,19.4475
2022-07-02,19.4475
2022-07-03,19.4475
2022-07-04,19.4475
2022-07-05,19.8813
2022-07-06,19.8677
2022-07-07,20.1743
2022-07-08,19.7223
2022-07-09,19.7223
2022-07-10,19.7223
2022-07-11,19.5747
2022-07-12,19.5769
2022-07-13,20.0539
2022-07-14,20.0289
2022-07-15,20.0335
2022-07-16,20.0335
2022-07-17,20.0335
2022-07-18,19.7814
2022-07-19,20.6877
2022-07-20,21.0261
2022-07-21,21.2282
2022-07-22,21.1238
2022-07-23,21.1238
2022-07-24,21.1238
2022-07-25,20.9398
2022-07-26,20.9216
2022-07-27,21.0783
2022-07-28,21.2805
2022-07-29,19.724
2022-07-30,19.724
2022-07-31,19.724
2022-08-01,19.8553
2022-08-02,19.6614
2022-08-03,19.7844
2022-08-04,19.8803
2022-08-05,20.0013
2022-08-06,20.0013
2022-08-07,20.0013
2022-08-08,20.1076
2022-08-09,19.7094
2022-08-10,20.1138
2022-08-11,20.3703
2022-08-12,20.7456
2022-08-13,20.7456
2022-08-14,20.7456
2022-08-15,20.904
2022-08-16,20.8248
2022-08-17,20.6288
2022-08-18,20.6684
2022-08-19,20.4037
2022-08-20,20.4037
2022-08-21,20.4037
2022-08-22,19.9825
2022-08-23,19.9304
2022-08-24,19.9637
2022-08-25,20.0659
2022-08-26,19.405
2022-08-27,19.405
2022-08-28,19.405
2022-08-29,19.3153
2022-08-30,19.2757
2022-08-31,19.086
2022-09-01,19.1684
2022-09-02,18.971
2022-09-03,18.971
2022-09-04,18.971
2022-09-05,18.971
2022-09-06,19.4738
2022-09-07,19.9579
2022-09-08,20.0742
2022-09-09,20.4502
2022-09-10,20.4502
2022-09-11,20.4502
2022-09-12,20.7972
2022-09-13,20.3671
2022-09-14,20.4544
2022-09-15,20.5479
2022-09-16,20.2549
2022-09-17,20.2549
2022-09-18,20.2549
2022-09-19,20.6497
2022-09-20,20.498
2022-09-21,20.3858
2022-09-22,20.0264
2022-09-23,19.6649
2022-09-24,19.6649
2022-09-25,19.6649
2022-09-26,19.7584
2022-09-27,19.6337
2022-09-28,20.0597
2022-09-29,19.8374
2022-09-30,19.7626
2022-10-01,19.7626
2022-10-02,19.7626
2022-10-03,20.2009
2022-10-04,20.9031
2022-10-05,21.1712
2022-10-06,21.4184
2022-10-07,21.3332
2022-10-08,21.3332
2022-10-09,21.3332
2022-10-10,21.4288
2022-10-11,21.6532
2022-10-12,21.3498
2022-10-13,21.6345
2022-10-14,21.2086
2022-10-15,21.2086
2022-10-16,21.2086
2022-10-17,21.4163
2022-10-18,21.6864
2022-10-19,21.5202
2022-10-20,21.0548
2022-10-21,21.7737
2022-10-22,21.7737
2022-10-23,21.7737
2022-10-24,22.2286
2022-10-25,22.6296
2022-10-26,22.7979
2022-10-27,23.4129
2022-10-28,23.9925
2022-10-29,23.9925
2022-10-30,23.9925
2022-10-31,20.5326
2022-11-01,20.4767
2022-11-02,19.9863
2022-11-03,20.3144
2022-11-04,20.4172
2022-11-05,20.4172
2022-11-06,20.4172
2022-11-07,20.9905
2022-11-08,21.214
2022-11-09,21.1834
2022-11-10,21.8324
2022-11-11,21.5962
2022-11-12,21.5962
2022-11-13,21.5962
2022-11-14,21.3763
2022-11-15,21.6449
2022-11-16,21.598
2022-11-17,21.5511
2022-11-18,21.6323
2022-11-19,21.6323
2022-11-20,21.6323
2022-11-21,21.717
2022-11-22,21.6395
2022-11-23,21.6449
2022-11-24,21.6449
2022-11-25,21.6106
2022-11-26,21.6106
2022-11-27,21.6106
2022-11-28,21.2429
2022-11-29,21.3096
2022-11-30,21.5349
2022-12-01,21.5638
2022-12-02,21.7278
2022-12-03,21.7278
2022-12-04,21.7278
2022-12-05,21.3492
2022-12-06,21.3168
2022-12-07,21.3907
2022-12-08,21.5151
2022-12-09,21.3907
2022-12-10,21.3907
2022-12-11,21.3907
2022-12-12,21.6214
2022-12-13,21.7422
2022-12-14,22.0451
2022-12-15,21.6701
2022-12-16,21.7188
2022-12-17,21.7188
2022-12-18,21.7188
2022-12-19,21.5277
2022-12-20,21.7206
2022-12-21,21.8738
2022-12-22,21.5264
2022-12-23,21.8557
2022-12-24,21.8557
2022-12-25,21.8557
2022-12-26,21.8557
2022-12-27,22.167
2022-12-28,21.8863
2022-12-29,21.9061
2022-12-30,21.8953
2022-12-31,21.8953
2023-01-01,21.8953
2023-01-02,21.8953
2023-01-03,21.8935
2023-01-04,21.9043
2023-01-05,21.7459
2023-01-06,21.8305
2023-01-07,21.8305
2023-01-08,21.8305
2023-01-09,22.1364
2023-01-10,22.2732
2023-01-11,22.2624
2023-01-12,22.3308
2023-01-13,22.4333
2023-01-14,22.4333
2023-01-15,22.4333
2023-01-16,22.4333
2023-01-17,22.0249
2023-01-18,21.8557
2023-01-19,21.2475
2023-01-20,21.2259
2023-01-21,21.2259
2023-01-22,21.2259
2023-01-23,21.0856
2023-01-24,21.4616
2023-01-25,21.2601
2023-01-26,21.3357
2023-01-27,21.2799
2023-01-28,21.2799
2023-01-29,21.2799
2023-01-30,21.0802
2023-01-31,21.593
2023-02-01,21.7298
2023-02-02,22.0662
2023-02-03,20.5743
2023-02-04,20.5743
2023-02-05,20.5743
2023-02-06,20.2004
2023-02-07,20.2378
2023-02-08,20.0681
2023-02-09,19.9236
2023-02-10,20.2563
2023-02-11,20.2563
2023-02-12,20.2563
2023-02-13,20.463
2023-02-14,20.4042
2023-02-15,20.589
2023-02-16,20.7335
2023-02-17,20.8444
2023-02-18,20.8444
2023-02-19,20.8444
2023-02-20,20.8444
2023-02-21,20.2815
2023-02-22,20.3504
2023-02-23,20.3302
2023-02-24,20.2479
2023-02-25,20.2479
2023-02-26,20.2479
2023-02-27,20.1975
2023-02-28,20.1505
2023-03-01,20.2009
2023-03-02,20.3773
2023-03-03,20.72
2023-03-04,20.72
2023-03-05,20.72
