,GPC US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-04-01,17.6648
2022-04-02,17.6648
2022-04-03,17.6648
2022-04-04,18.0531
2022-04-05,17.7772
2022-04-06,17.8595
2022-04-07,18.0438
2022-04-08,18.3707
2022-04-09,18.3707
2022-04-10,18.3707
2022-04-11,18.213
2022-04-12,18.3324
2022-04-13,18.3127
2022-04-14,18.2455
2022-04-15,18.2455
2022-04-16,18.2455
2022-04-17,18.2455
2022-04-18,18.2687
2022-04-19,18.5793
2022-04-20,19.0256
2022-04-21,19.0393
2022-04-22,18.5201
2022-04-23,18.5201
2022-04-24,18.5201
2022-04-25,18.5802
2022-04-26,18.5548
2022-04-27,18.5536
2022-04-28,18.4681
2022-04-29,18.105
2022-04-30,18.105
2022-05-01,18.105
2022-05-02,18.1559
2022-05-03,18.3039
2022-05-04,18.6982
2022-05-05,18.1339
2022-05-06,18.1906
2022-05-07,18.1906
2022-05-08,18.1906
2022-05-09,18.3235
2022-05-10,18.2091
2022-05-11,18.0137
2022-05-12,18.4114
2022-05-13,18.6519
2022-05-14,18.6519
2022-05-15,18.6519
2022-05-16,18.8242
2022-05-17,18.9791
2022-05-18,18.2704
2022-05-19,18.3305
2022-05-20,17.9304
2022-05-21,17.9304
2022-05-22,17.9304
2022-05-23,18.0576
2022-05-24,18.2068
2022-05-25,18.4658
2022-05-26,18.7976
2022-05-27,19.1607
2022-05-28,19.1607
2022-05-29,19.1607
2022-05-30,19.1607
2022-05-31,18.8774
2022-06-01,18.7722
2022-06-02,18.8832
2022-06-03,18.7872
2022-06-04,18.7872
2022-06-05,18.7872
2022-06-06,19.2162
2022-06-07,19.3492
2022-06-08,19.1931
2022-06-09,19.2081
2022-06-10,18.7849
2022-06-11,18.7849
2022-06-12,18.7849
2022-06-13,18.2854
2022-06-14,18.3814
2022-06-15,18.379
2022-06-16,17.9038
2022-06-17,17.7778
2022-06-18,17.7778
2022-06-19,17.7778
2022-06-20,17.7778
2022-06-21,18.1929
2022-06-22,18.2865
2022-06-23,18.4796
2022-06-24,18.8797
2022-06-25,18.8797
2022-06-26,18.8797
2022-06-27,18.9248
2022-06-28,18.7294
2022-06-29,18.5051
2022-06-30,15.2503
2022-07-01,15.284
2022-07-02,15.284
2022-07-03,15.284
2022-07-04,15.284
2022-07-05,15.4658
2022-07-06,15.4716
2022-07-07,15.7285
2022-07-08,15.6486
2022-07-09,15.6486
2022-07-10,15.6486
2022-07-11,15.6938
2022-07-12,15.6303
2022-07-13,15.664
2022-07-14,15.6053
2022-07-15,15.7833
2022-07-16,15.7833
2022-07-17,15.7833
2022-07-18,15.7439
2022-07-19,16.096
2022-07-20,16.1662
2022-07-21,16.1691
2022-07-22,16.3557
2022-07-23,16.3557
2022-07-24,16.3557
2022-07-25,16.3596
2022-07-26,16.1864
2022-07-27,16.5203
2022-07-28,16.8316
2022-07-29,17.1449
2022-07-30,17.1449
2022-07-31,17.1449
2022-08-01,17.1507
2022-08-02,16.9421
2022-08-03,16.9681
2022-08-04,16.8624
2022-08-05,16.9633
2022-08-06,16.9633
2022-08-07,16.9633
2022-08-08,17.0517
2022-08-09,17.068
2022-08-10,17.3457
2022-08-11,17.5043
2022-08-12,17.6475
2022-08-13,17.6475
2022-08-14,17.6475
2022-08-15,17.684
2022-08-16,17.7484
2022-08-17,17.8868
2022-08-18,17.8272
2022-08-19,17.8156
2022-08-20,17.8156
2022-08-21,17.8156
2022-08-22,17.537
2022-08-23,17.6129
2022-08-24,17.5677
2022-08-25,17.8032
2022-08-26,17.486
2022-08-27,17.486
2022-08-28,17.486
2022-08-29,17.5562
2022-08-30,17.4659
2022-08-31,17.4466
2022-09-01,17.5206
2022-09-02,17.5658
2022-09-03,17.5658
2022-09-04,17.5658
2022-09-05,17.5658
2022-09-06,17.5793
2022-09-07,18.0174
2022-09-08,18.0165
2022-09-09,18.0991
2022-09-10,18.0991
2022-09-11,18.0991
2022-09-12,18.1328
2022-09-13,17.6321
2022-09-14,17.4735
2022-09-15,17.2929
2022-09-16,17.3188
2022-09-17,17.3188
2022-09-18,17.3188
2022-09-19,17.6888
2022-09-20,17.5562
2022-09-21,17.4072
2022-09-22,17.2842
2022-09-23,16.969
2022-09-24,16.969
2022-09-25,16.969
2022-09-26,16.7855
2022-09-27,16.7384
2022-09-28,17.1257
2022-09-29,16.8403
2022-09-30,15.296
2022-10-01,15.296
2022-10-02,15.296
2022-10-03,15.6124
2022-10-04,15.9262
2022-10-05,16.0178
2022-10-06,15.9579
2022-10-07,15.697
2022-10-08,15.697
2022-10-09,15.697
2022-10-10,15.7525
2022-10-11,15.9535
2022-10-12,15.7895
2022-10-13,15.9323
2022-10-14,15.7516
2022-10-15,15.7516
2022-10-16,15.7516
2022-10-17,16.0822
2022-10-18,16.2928
2022-10-19,16.1465
2022-10-20,16.023
2022-10-21,16.4171
2022-10-22,16.4171
2022-10-23,16.4171
2022-10-24,17.1384
2022-10-25,17.2352
2022-10-26,17.2026
2022-10-27,17.5281
2022-10-28,17.8694
2022-10-29,17.8694
2022-10-30,17.8694
2022-10-31,17.7815
2022-11-01,17.9037
2022-11-02,17.536
2022-11-03,17.7102
2022-11-04,17.8114
2022-11-05,17.8114
2022-11-06,17.8114
2022-11-07,17.9715
2022-11-08,18.0199
2022-11-09,17.8272
2022-11-10,18.1632
2022-11-11,17.7903
2022-11-12,17.7903
2022-11-13,17.7903
2022-11-14,17.9495
2022-11-15,18.0955
2022-11-16,17.9609
2022-11-17,17.9169
2022-11-18,18.0295
2022-11-19,18.0295
2022-11-20,18.0295
2022-11-21,18.1712
2022-11-22,18.3207
2022-11-23,18.3145
2022-11-24,18.3145
2022-11-25,18.5063
2022-11-26,18.5063
2022-11-27,18.5063
2022-11-28,18.2538
2022-11-29,18.0181
2022-11-30,18.2626
2022-12-01,18.4007
2022-12-02,18.6101
2022-12-03,18.6101
2022-12-04,18.6101
2022-12-05,18.4025
2022-12-06,18.2037
2022-12-07,18.2213
2022-12-08,18.465
2022-12-09,18.1685
2022-12-10,18.1685
2022-12-11,18.1685
2022-12-12,18.1474
2022-12-13,17.7982
2022-12-14,17.8888
2022-12-15,17.8606
2022-12-16,17.6891
2022-12-17,17.6891
2022-12-18,17.6891
2022-12-19,17.6064
2022-12-20,17.5853
2022-12-21,17.7903
2022-12-22,17.529
2022-12-23,17.668
2022-12-24,17.668
2022-12-25,17.668
2022-12-26,17.668
2022-12-27,17.7313
2022-12-28,17.5466
2022-12-29,17.551
2022-12-30,17.5351
2022-12-31,17.5351
2023-01-01,17.5351
2023-01-02,17.5351
2023-01-03,17.2115
2023-01-04,17.3978
2023-01-05,17.1031
2023-01-06,17.3016
2023-01-07,17.3016
2023-01-08,17.3016
2023-01-09,17.264
2023-01-10,17.2063
2023-01-11,17.1547
2023-01-12,17.1363
2023-01-13,17.1896
2023-01-14,17.1896
2023-01-15,17.1896
2023-01-16,17.1896
2023-01-17,17.1004
2023-01-18,16.8958
2023-01-19,16.4734
2023-01-20,16.5058
2023-01-21,16.5058
2023-01-22,16.5058
2023-01-23,16.5897
2023-01-24,16.8293
2023-01-25,16.9194
2023-01-26,17.0523
2023-01-27,16.8731
2023-01-28,16.8731
2023-01-29,16.8731
2023-01-30,16.9317
2023-01-31,17.0375
2023-02-01,17.1031
2023-02-02,17.2937
2023-02-03,17.0786
2023-02-04,17.0786
2023-02-05,17.0786
2023-02-06,17.1564
2023-02-07,17.138
2023-02-08,17.1809
2023-02-09,17.1625
2023-02-10,17.494
2023-02-11,17.494
2023-02-12,17.494
2023-02-13,17.7344
2023-02-14,17.8062
2023-02-15,18.0746
2023-02-16,18.0283
2023-02-17,18.1149
2023-02-18,18.1149
2023-02-19,18.1149
2023-02-20,18.1149
2023-02-21,17.6076
2023-02-22,17.57
2023-02-23,18.0422
2023-02-24,17.9602
2023-02-25,17.9602
2023-02-26,17.9602
2023-02-27,17.9183
2023-02-28,17.7892
2023-03-01,17.2178
2023-03-02,17.2719
2023-03-03,17.348
