,MSM US Equity
,BEST_PE_RATIO
2023-02-19,13.423
2023-02-20,13.423
2023-02-21,13.063
2023-02-22,12.979
2023-02-23,13.018
2023-02-24,13.01
2023-02-25,13.01
2023-02-26,13.01
2023-02-27,13.049
2023-02-28,13.089
2023-03-01,13.231
2023-03-02,13.252
2023-03-03,13.309
2023-03-04,13.309
2023-03-05,13.309
2023-03-06,13.166
2023-03-07,13.145
2023-03-08,13.214
2023-03-09,12.995
2023-03-10,12.736
2023-03-11,12.736
2023-03-12,12.736
2023-03-13,12.556
2023-03-14,12.734
2023-03-15,12.422
2023-03-16,12.49
2023-03-17,12.116
2023-03-18,12.116
2023-03-19,12.116
2023-03-20,12.488
2023-03-21,12.648
2023-03-22,12.437
2023-03-23,12.398
2023-03-24,12.527
2023-03-25,12.527
2023-03-26,12.527
2023-03-27,12.672
2023-03-28,12.754
2023-03-29,12.837
2023-03-30,12.778
2023-03-31,13.008
2023-04-01,13.008
2023-04-02,13.008
2023-04-03,13.067
2023-04-04,12.676
2023-04-05,12.775
2023-04-06,12.764
2023-04-07,12.764
2023-04-08,12.764
2023-04-09,12.764
2023-04-10,12.97
2023-04-11,13.124
2023-04-12,13.339
2023-04-13,13.339
2023-04-14,13.484
2023-04-15,13.484
2023-04-16,13.484
2023-04-17,13.591
2023-04-18,13.743
2023-04-19,13.717
2023-04-20,13.903
2023-04-21,13.923
2023-04-22,13.923
2023-04-23,13.923
2023-04-24,13.838
2023-04-25,13.67
2023-04-26,13.461
2023-04-27,13.874
2023-04-28,13.836
2023-04-29,13.836
2023-04-30,13.836
2023-05-01,13.94
2023-05-02,13.903
2023-05-03,13.847
2023-05-04,13.663
2023-05-05,13.835
2023-05-06,13.835
2023-05-07,13.835
2023-05-08,13.855
2023-05-09,13.716
2023-05-10,13.748
2023-05-11,13.844
2023-05-12,13.865
2023-05-13,13.865
2023-05-14,13.865
2023-05-15,13.829
2023-05-16,13.876
2023-05-17,14.003
2023-05-18,14.151
2023-05-19,14.201
2023-05-20,14.201
2023-05-21,14.201
2023-05-22,14.33
2023-05-23,14.091
2023-05-24,13.821
2023-05-25,13.907
2023-05-26,14.093
2023-05-27,14.093
2023-05-28,14.093
2023-05-29,14.093
2023-05-30,14.05
2023-05-31,13.713
2023-06-01,13.873
2023-06-02,14.265
2023-06-03,14.265
2023-06-04,14.265
2023-06-05,14.172
2023-06-06,14.155
2023-06-07,14.504
2023-06-08,14.599
2023-06-09,14.533
