,WHR US Equity
,BEST_PE_RATIO
2022-06-16,4.912
2022-06-17,5.095
2022-06-18,5.095
2022-06-19,5.095
2022-06-20,5.095
2022-06-21,5.155
2022-06-22,5.147
2022-06-23,5.51
2022-06-24,5.604
2022-06-25,5.604
2022-06-26,5.604
2022-06-27,5.521
2022-06-28,5.425
2022-06-29,5.314
2022-06-30,5.217
2022-07-01,5.309
2022-07-02,5.309
2022-07-03,5.309
2022-07-04,5.309
2022-07-05,5.415
2022-07-06,5.366
2022-07-07,5.466
2022-07-08,5.417
2022-07-09,5.417
2022-07-10,5.417
2022-07-11,5.395
2022-07-12,5.535
2022-07-13,5.505
2022-07-14,5.365
2022-07-15,5.369
2022-07-16,5.369
2022-07-17,5.369
2022-07-18,5.458
2022-07-19,5.59
2022-07-20,5.661
2022-07-21,5.702
2022-07-22,5.676
2022-07-23,5.676
2022-07-24,5.676
2022-07-25,5.571
2022-07-26,6.548
2022-07-27,6.577
2022-07-28,6.834
2022-07-29,6.724
2022-07-30,6.724
2022-07-31,6.724
2022-08-01,6.829
2022-08-02,6.522
2022-08-03,6.462
2022-08-04,6.535
2022-08-05,6.552
2022-08-06,6.552
2022-08-07,6.552
2022-08-08,6.411
2022-08-09,6.172
2022-08-10,6.481
2022-08-11,6.486
2022-08-12,6.507
2022-08-13,6.507
2022-08-14,6.507
2022-08-15,6.626
2022-08-16,6.828
2022-08-17,6.726
2022-08-18,6.717
2022-08-19,6.544
2022-08-20,6.544
2022-08-21,6.544
2022-08-22,6.409
2022-08-23,6.42
2022-08-24,6.426
2022-08-25,6.614
2022-08-26,6.263
2022-08-27,6.263
2022-08-28,6.263
2022-08-29,6.196
2022-08-30,6.203
2022-08-31,6.156
2022-09-01,6.1
2022-09-02,6.042
2022-09-03,6.042
2022-09-04,6.042
2022-09-05,6.042
2022-09-06,5.936
2022-09-07,6.071
2022-09-08,6.124
2022-09-09,6.298
2022-09-10,6.298
2022-09-11,6.298
2022-09-12,6.288
2022-09-13,5.764
2022-09-14,5.726
2022-09-15,5.735
2022-09-16,5.702
2022-09-17,5.702
2022-09-18,5.702
2022-09-19,5.789
2022-09-20,5.617
2022-09-21,5.602
2022-09-22,5.51
2022-09-23,5.534
2022-09-24,5.534
2022-09-25,5.534
2022-09-26,5.402
2022-09-27,5.395
2022-09-28,5.582
2022-09-29,5.41
2022-09-30,5.299
2022-10-01,5.299
2022-10-02,5.299
2022-10-03,5.521
2022-10-04,5.748
2022-10-05,5.678
2022-10-06,5.618
2022-10-07,5.454
2022-10-08,5.454
2022-10-09,5.454
2022-10-10,5.548
2022-10-11,5.619
2022-10-12,6.027
2022-10-13,6.043
2022-10-14,5.884
2022-10-15,5.884
2022-10-16,5.884
2022-10-17,5.956
2022-10-18,6.185
2022-10-19,5.914
2022-10-20,5.637
2022-10-21,6.036
2022-10-22,6.036
2022-10-23,6.036
2022-10-24,6.716
2022-10-25,6.923
2022-10-26,6.809
2022-10-27,6.823
2022-10-28,7.07
2022-10-29,7.07
2022-10-30,7.07
2022-10-31,6.985
2022-11-01,6.941
2022-11-02,6.651
2022-11-03,6.529
2022-11-04,6.737
2022-11-05,6.737
2022-11-06,6.737
2022-11-07,6.912
2022-11-08,7.151
2022-11-09,6.976
2022-11-10,7.562
2022-11-11,7.912
2022-11-12,7.912
2022-11-13,7.912
2022-11-14,7.728
2022-11-15,7.808
2022-11-16,7.545
2022-11-17,7.586
2022-11-18,7.565
2022-11-19,7.565
2022-11-20,7.565
2022-11-21,7.454
2022-11-22,7.547
2022-11-23,7.613
2022-11-24,7.613
2022-11-25,7.635
2022-11-26,7.635
2022-11-27,7.635
2022-11-28,7.381
2022-11-29,7.492
2022-11-30,7.52
2022-12-01,7.648
2022-12-02,7.499
2022-12-03,7.499
2022-12-04,7.499
2022-12-05,7.26
2022-12-06,7.28
2022-12-07,7.326
2022-12-08,7.46
2022-12-09,7.38
2022-12-10,7.38
2022-12-11,7.38
2022-12-12,7.567
2022-12-13,7.568
2022-12-14,7.493
2022-12-15,7.393
2022-12-16,7.261
2022-12-17,7.261
2022-12-18,7.261
2022-12-19,7.186
2022-12-20,7.056
2022-12-21,7.271
2022-12-22,7.187
2022-12-23,7.292
2022-12-24,7.292
2022-12-25,7.292
2022-12-26,7.292
2022-12-27,7.296
2022-12-28,7.124
2022-12-29,7.368
2022-12-30,7.284
2022-12-31,7.284
2023-01-01,7.284
2023-01-02,7.284
2023-01-03,7.401
2023-01-04,7.632
2023-01-05,7.711
2023-01-06,7.801
2023-01-07,7.801
2023-01-08,7.801
2023-01-09,7.844
2023-01-10,7.965
2023-01-11,7.948
2023-01-12,7.942
2023-01-13,8.276
2023-01-14,8.276
2023-01-15,8.276
2023-01-16,8.276
2023-01-17,8.542
2023-01-18,8.292
2023-01-19,8.023
2023-01-20,8.366
2023-01-21,8.366
2023-01-22,8.366
2023-01-23,8.438
2023-01-24,8.472
2023-01-25,8.413
2023-01-26,8.305
2023-01-27,8.528
2023-01-28,8.528
2023-01-29,8.528
2023-01-30,8.535
2023-01-31,8.606
2023-02-01,8.629
2023-02-02,8.48
2023-02-03,8.267
2023-02-04,8.267
2023-02-05,8.267
2023-02-06,8.0
2023-02-07,7.935
2023-02-08,7.634
2023-02-09,7.3
2023-02-10,7.32
2023-02-11,7.32
2023-02-12,7.32
2023-02-13,7.735
2023-02-14,7.89
2023-02-15,7.747
2023-02-16,7.605
2023-02-17,7.598
2023-02-18,7.598
2023-02-19,7.598
2023-02-20,7.598
2023-02-21,7.37
2023-02-22,7.345
2023-02-23,7.383
2023-02-24,7.276
2023-02-25,7.276
2023-02-26,7.276
2023-02-27,7.268
2023-02-28,7.218
2023-03-01,7.144
2023-03-02,7.285
2023-03-03,7.313
2023-03-04,7.313
2023-03-05,7.313
2023-03-06,7.234
2023-03-07,7.1
2023-03-08,7.205
2023-03-09,7.077
2023-03-10,6.926
2023-03-11,6.926
2023-03-12,6.926
2023-03-13,6.947
2023-03-14,6.956
2023-03-15,6.788
2023-03-16,6.824
2023-03-17,6.771
2023-03-18,6.771
2023-03-19,6.771
2023-03-20,6.906
2023-03-21,6.905
2023-03-22,6.703
2023-03-23,6.646
2023-03-24,6.703
2023-03-25,6.703
2023-03-26,6.703
2023-03-27,6.738
2023-03-28,6.696
2023-03-29,6.787
2023-03-30,6.784
2023-03-31,6.959
2023-04-01,6.959
2023-04-02,6.959
2023-04-03,6.943
2023-04-04,6.876
2023-04-05,6.824
2023-04-06,6.718
2023-04-07,6.718
2023-04-08,6.718
2023-04-09,6.718
2023-04-10,6.804
2023-04-11,7.104
2023-04-12,7.1
2023-04-13,7.124
2023-04-14,7.153
2023-04-15,7.153
2023-04-16,7.153
2023-04-17,7.281
2023-04-18,7.42
2023-04-19,7.422
2023-04-20,7.482
2023-04-21,7.498
2023-04-22,7.498
2023-04-23,7.498
2023-04-24,7.483
2023-04-25,7.12
2023-04-26,6.93
2023-04-27,7.272
2023-04-28,7.498
2023-04-29,7.498
2023-04-30,7.498
2023-05-01,7.509
2023-05-02,7.466
2023-05-03,7.582
2023-05-04,7.292
2023-05-05,7.36
2023-05-06,7.36
2023-05-07,7.36
2023-05-08,7.368
2023-05-09,7.318
2023-05-10,7.188
2023-05-11,7.129
2023-05-12,7.03
2023-05-13,7.03
2023-05-14,7.03
2023-05-15,7.069
2023-05-16,6.897
2023-05-17,7.07
2023-05-18,7.292
2023-05-19,7.171
2023-05-20,7.171
2023-05-21,7.171
2023-05-22,7.172
2023-05-23,7.243
2023-05-24,7.241
2023-05-25,7.218
2023-05-26,7.323
2023-05-27,7.323
2023-05-28,7.323
2023-05-29,7.323
2023-05-30,7.243
2023-05-31,7.054
2023-06-01,7.169
2023-06-02,7.403
2023-06-03,7.403
2023-06-04,7.403
2023-06-05,7.282
2023-06-06,7.488
2023-06-07,7.965
2023-06-08,7.852
2023-06-09,7.751
2023-06-10,7.751
2023-06-11,7.751
