,PEP US Equity
,BEST_PE_RATIO
2022-08-16,21.821
2022-08-17,21.808
2022-08-18,21.83
2022-08-19,21.802
2022-08-20,21.802
2022-08-21,21.802
2022-08-22,21.578
2022-08-23,21.568
2022-08-24,21.676
2022-08-25,21.677
2022-08-26,21.166
2022-08-27,21.166
2022-08-28,21.166
2022-08-29,21.099
2022-08-30,20.918
2022-08-31,20.831
2022-09-01,21.041
2022-09-02,20.775
2022-09-03,20.775
2022-09-04,20.775
2022-09-05,20.775
2022-09-06,20.635
2022-09-07,21.09
2022-09-08,21.019
2022-09-09,21.086
2022-09-10,21.086
2022-09-11,21.086
2022-09-12,21.169
2022-09-13,20.379
2022-09-14,20.534
2022-09-15,20.193
2022-09-16,20.325
2022-09-17,20.325
2022-09-18,20.325
2022-09-19,20.54
2022-09-20,20.55
2022-09-21,20.491
2022-09-22,20.511
2022-09-23,20.501
2022-09-24,20.501
2022-09-25,20.501
2022-09-26,20.49
2022-09-27,20.193
2022-09-28,20.517
2022-09-29,20.282
2022-09-30,19.874
2022-10-01,19.874
2022-10-02,19.874
2022-10-03,20.147
2022-10-04,20.363
2022-10-05,20.228
2022-10-06,19.858
2022-10-07,19.713
2022-10-08,19.713
2022-10-09,19.713
2022-10-10,19.741
2022-10-11,19.891
2022-10-12,20.62
2022-10-13,21.194
2022-10-14,20.657
2022-10-15,20.657
2022-10-16,20.657
2022-10-17,20.897
2022-10-18,21.101
2022-10-19,20.896
2022-10-20,20.667
2022-10-21,20.86
2022-10-22,20.86
2022-10-23,20.86
2022-10-24,21.417
2022-10-25,21.488
2022-10-26,21.614
2022-10-27,21.592
2022-10-28,21.996
2022-10-29,21.996
2022-10-30,21.996
2022-10-31,21.917
2022-11-01,21.818
2022-11-02,21.498
2022-11-03,21.443
2022-11-04,21.628
2022-11-05,21.628
2022-11-06,21.628
2022-11-07,21.801
2022-11-08,21.862
2022-11-09,21.601
2022-11-10,21.982
2022-11-11,21.54
2022-11-12,21.54
2022-11-13,21.54
2022-11-14,21.38
2022-11-15,21.436
2022-11-16,21.574
2022-11-17,21.78
2022-11-18,21.937
2022-11-19,21.937
2022-11-20,21.937
2022-11-21,22.359
2022-11-22,22.362
2022-11-23,22.391
2022-11-24,22.391
2022-11-25,22.273
2022-11-26,22.273
2022-11-27,22.273
2022-11-28,22.247
2022-11-29,22.089
2022-11-30,22.443
2022-12-01,22.63
2022-12-02,22.605
2022-12-03,22.605
2022-12-04,22.605
2022-12-05,22.289
2022-12-06,22.108
2022-12-07,22.174
2022-12-08,22.369
2022-12-09,22.286
2022-12-10,22.286
2022-12-11,22.286
2022-12-12,22.378
2022-12-13,22.366
2022-12-14,22.304
2022-12-15,21.926
2022-12-16,21.967
2022-12-17,21.967
2022-12-18,21.967
2022-12-19,22.089
2022-12-20,22.076
2022-12-21,22.23
2022-12-22,22.059
2022-12-23,22.201
2022-12-24,22.201
2022-12-25,22.201
2022-12-26,22.201
2022-12-27,22.3
2022-12-28,22.139
2022-12-29,22.167
2022-12-30,22.006
2022-12-31,22.006
2023-01-01,22.006
2023-01-02,22.006
2023-01-03,21.846
2023-01-04,21.778
2023-01-05,21.551
2023-01-06,22.037
2023-01-07,22.037
2023-01-08,22.037
2023-01-09,21.822
2023-01-10,21.642
2023-01-11,21.658
2023-01-12,21.377
2023-01-13,21.322
2023-01-14,21.322
2023-01-15,21.322
2023-01-16,21.322
2023-01-17,21.446
2023-01-18,20.905
2023-01-19,20.663
2023-01-20,20.693
2023-01-21,20.693
2023-01-22,20.693
2023-01-23,20.611
2023-01-24,20.802
2023-01-25,20.953
2023-01-26,20.745
2023-01-27,20.677
2023-01-28,20.677
2023-01-29,20.677
2023-01-30,20.66
2023-01-31,20.848
2023-02-01,20.916
2023-02-02,20.728
2023-02-03,20.624
2023-02-04,20.624
2023-02-05,20.624
2023-02-06,20.953
2023-02-07,20.951
2023-02-08,20.902
2023-02-09,21.126
2023-02-10,21.591
2023-02-11,21.591
2023-02-12,21.591
2023-02-13,21.772
2023-02-14,21.527
2023-02-15,21.557
2023-02-16,21.517
2023-02-17,21.612
2023-02-18,21.612
2023-02-19,21.612
2023-02-20,21.612
2023-02-21,21.6
2023-02-22,21.592
2023-02-23,21.635
2023-02-24,21.592
2023-02-25,21.592
2023-02-26,21.592
2023-02-27,21.586
2023-02-28,21.294
2023-03-01,21.024
2023-03-02,21.412
2023-03-03,21.401
2023-03-04,21.401
2023-03-05,21.401
2023-03-06,21.445
2023-03-07,21.327
2023-03-08,21.386
2023-03-09,21.224
2023-03-10,21.252
2023-03-11,21.252
2023-03-12,21.252
2023-03-13,21.46
2023-03-14,21.437
2023-03-15,21.82
2023-03-16,21.806
2023-03-17,21.608
2023-03-18,21.608
2023-03-19,21.608
2023-03-20,21.911
2023-03-21,21.963
2023-03-22,21.778
2023-03-23,21.672
2023-03-24,22.096
2023-03-25,22.096
2023-03-26,22.096
2023-03-27,22.146
2023-03-28,22.158
2023-03-29,22.311
2023-03-30,22.331
2023-03-31,22.512
2023-04-01,22.512
2023-04-02,22.512
2023-04-03,22.54
2023-04-04,22.46
2023-04-05,22.681
2023-04-06,22.758
2023-04-07,22.758
2023-04-08,22.758
2023-04-09,22.758
2023-04-10,22.615
2023-04-11,22.58
2023-04-12,22.536
2023-04-13,22.749
2023-04-14,22.642
2023-04-15,22.642
2023-04-16,22.642
2023-04-17,22.755
2023-04-18,22.799
2023-04-19,22.785
2023-04-20,22.857
2023-04-21,22.867
2023-04-22,22.867
2023-04-23,22.867
2023-04-24,22.878
2023-04-25,23.282
2023-04-26,23.101
2023-04-27,23.242
2023-04-28,23.371
2023-04-29,23.371
2023-04-30,23.371
2023-05-01,23.468
2023-05-02,23.532
2023-05-03,23.523
2023-05-04,23.67
2023-05-05,23.779
2023-05-06,23.779
2023-05-07,23.779
2023-05-08,23.666
2023-05-09,23.796
2023-05-10,23.812
2023-05-11,23.943
2023-05-12,24.039
2023-05-13,24.039
2023-05-14,24.039
2023-05-15,23.812
2023-05-16,23.709
2023-05-17,23.541
2023-05-18,23.48
2023-05-19,23.49
2023-05-20,23.49
2023-05-21,23.49
2023-05-22,22.854
2023-05-23,22.784
2023-05-24,22.639
2023-05-25,22.506
2023-05-26,22.479
2023-05-27,22.479
2023-05-28,22.479
2023-05-29,22.479
2023-05-30,22.221
2023-05-31,22.311
2023-06-01,22.448
2023-06-02,22.678
2023-06-03,22.678
2023-06-04,22.678
2023-06-05,22.694
2023-06-06,22.37
2023-06-07,22.191
2023-06-08,22.436
2023-06-09,22.467
