,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-09-01,64.7286,64.7286,62.4188,62.6906,3334483.0
2021-09-02,63.2522,64.4569,63.1027,63.3337,2336526.0
2021-09-03,63.3156,63.8047,62.5411,63.0619,1606198.0
2021-09-04,63.3156,63.8047,62.5411,63.0619,1606198.0
2021-09-05,63.3156,63.8047,62.5411,63.0619,1606198.0
2021-09-06,63.3156,63.8047,62.5411,63.0619,1606198.0
2021-09-07,62.5819,63.7685,62.2467,62.2648,2108782.0
2021-09-08,62.6634,63.071,60.6344,60.6797,2498366.0
2021-09-09,60.2177,61.7712,59.8282,60.4532,3575665.0
2021-09-10,61.359,61.3681,59.9188,60.1271,2477451.0
2021-09-11,61.359,61.3681,59.9188,60.1271,2477451.0
2021-09-12,61.359,61.3681,59.9188,60.1271,2477451.0
2021-09-13,60.9786,61.5492,60.4261,60.9242,3545053.0
2021-09-14,61.4315,61.6308,58.8318,59.0945,3572503.0
2021-09-15,59.6742,60.6163,59.3029,59.8101,4584466.0
2021-09-16,59.7829,60.1905,59.0039,59.5655,2426996.0
2021-09-17,59.5565,60.3445,59.1126,59.801,6201971.0
2021-09-18,59.5565,60.3445,59.1126,59.801,6201971.0
2021-09-19,59.5565,60.3445,59.1126,59.801,6201971.0
2021-09-20,58.2431,59.167,57.2376,58.2159,2989687.0
2021-09-21,59.013,59.1672,57.5728,58.2793,2170007.0
2021-09-22,59.2938,61.6081,59.2726,60.6978,4003699.0
2021-09-23,60.7703,62.3781,60.58,62.1471,2520553.0
2021-09-24,61.5764,62.0384,61.0511,61.6308,2424696.0
2021-09-25,61.5764,62.0384,61.0511,61.6308,2424696.0
2021-09-26,61.5764,62.0384,61.0511,61.6308,2424696.0
2021-09-27,62.9804,64.7739,62.5728,64.4297,3136273.0
2021-09-28,65.4533,66.0783,64.1036,64.2304,3790438.0
2021-09-29,64.1127,64.167,63.1253,63.3699,2352137.0
2021-09-30,63.5148,64.2123,62.5819,63.4333,3439043.0
2021-10-01,63.4877,65.9235,63.4877,65.7341,2859395.0
2021-10-02,63.4877,65.9235,63.4877,65.7341,2859395.0
2021-10-03,63.4877,65.9235,63.4877,65.7341,2859395.0
2021-10-04,66.1235,68.7775,65.4804,68.5783,6311962.0
2021-10-05,69.8373,71.4859,68.542,70.0638,5064952.0
2021-10-06,69.7649,71.2671,69.0855,71.0058,4437321.0
2021-10-07,71.2957,72.446,71.0602,71.8301,2746519.0
2021-10-08,72.4732,74.8645,72.1381,74.3935,3274088.0
2021-10-09,72.4732,74.8645,72.1381,74.3935,3274088.0
2021-10-10,72.4732,74.8645,72.1381,74.3935,3274088.0
2021-10-11,75.1453,76.5493,74.2848,74.312,2671866.0
2021-10-12,74.2758,75.4895,74.1059,74.8464,2217544.0
2021-10-13,74.0946,74.629,72.9714,74.158,3511912.0
2021-10-14,75.2721,75.6616,74.0321,74.4207,2283380.0
2021-10-15,75.1816,75.4986,73.5421,73.5692,2093211.0
2021-10-16,75.1816,75.4986,73.5421,73.5692,2093211.0
2021-10-17,75.1816,75.4986,73.5421,73.5692,2093211.0
2021-10-18,73.9768,74.8509,72.8265,73.2522,2534548.0
2021-10-19,73.7323,75.0819,73.4243,74.9823,2880026.0
2021-10-20,74.5837,75.4805,74.1676,75.4714,2016929.0
2021-10-21,74.8917,76.3048,74.149,74.937,2536207.0
2021-10-22,75.1182,75.9515,73.841,75.0819,1880319.0
2021-10-23,75.1182,75.9515,73.841,75.0819,1880319.0
2021-10-24,75.1182,75.9515,73.841,75.0819,1880319.0
2021-10-25,75.6798,76.1598,75.0281,75.8428,1939249.0
2021-10-26,75.8519,75.8609,74.2419,74.475,3262743.0
2021-10-27,72.9171,73.2341,69.8645,70.0638,5417208.0
2021-10-28,69.2939,70.6435,68.841,69.5203,3379977.0
2021-10-29,69.7468,70.3626,67.0928,67.7359,5110922.0
2021-10-30,69.7468,70.3626,67.0928,67.7359,5110922.0
