,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-08-19,37.94,38.87,37.9,38.64,2061457.0
2020-08-20,38.28,38.28,37.335,37.41,1625632.0
2020-08-21,37.5,37.78,37.06,37.32,1464307.0
2020-08-22,37.5,37.78,37.06,37.32,1464307.0
2020-08-23,37.5,37.78,37.06,37.32,1464307.0
2020-08-24,37.43,38.385,37.32,38.01,4398896.0
2020-08-25,38.24,38.81,38.15,38.48,1718331.0
2020-08-26,38.48,38.65,38.02,38.37,998930.0
2020-08-27,38.405,39.365,38.04,39.05,4107327.0
2020-08-28,39.24,39.44,38.79,39.18,1569231.0
2020-08-29,39.24,39.44,38.79,39.18,1569231.0
2020-08-30,39.24,39.44,38.79,39.18,1569231.0
2020-08-31,39.09,39.14,38.31,38.38,2510377.0
2020-09-01,38.28,39.2,37.84,38.69,2523415.0
2020-09-02,38.66,39.06,38.33,38.87,4048873.0
2020-09-03,39.22,39.85,38.06,38.27,4413520.0
2020-09-04,38.99,39.9,38.54,39.09,4611911.0
2020-09-05,38.99,39.9,38.54,39.09,4611911.0
2020-09-06,38.99,39.9,38.54,39.09,4611911.0
2020-09-07,38.99,39.9,38.54,39.09,4611911.0
2020-09-08,38.44,38.59,37.45,37.48,2765644.0
2020-09-09,37.8,38.12,37.39,37.88,3265136.0
2020-09-10,38.27,38.27,37.33,37.51,5117747.0
2020-09-11,37.65,38.47,37.55,38.12,4205871.0
2020-09-12,37.65,38.47,37.55,38.12,4205871.0
2020-09-13,37.65,38.47,37.55,38.12,4205871.0
2020-09-14,38.66,39.12,38.25,38.61,3465962.0
2020-09-15,37.78,37.94,36.54,37.59,3311788.0
2020-09-16,37.71,39.005,37.64,38.72,3320747.0
2020-09-17,37.98,39.02,37.94,38.68,3265407.0
2020-09-18,38.71,39.49,38.65,38.96,4999993.0
2020-09-19,38.71,39.49,38.65,38.96,4999993.0
2020-09-20,38.71,39.49,38.65,38.96,4999993.0
2020-09-21,38.0,38.86,37.34,38.14,5848886.0
2020-09-22,38.05,38.75,37.29,37.86,3009910.0
2020-09-23,38.06,38.76,37.61,37.64,1814428.0
2020-09-24,37.65,37.74,36.9,37.15,2189761.0
2020-09-25,36.97,37.95,36.77,37.82,2333494.0
2020-09-26,36.97,37.95,36.77,37.82,2333494.0
2020-09-27,36.97,37.95,36.77,37.82,2333494.0
2020-09-28,38.49,39.29,38.44,39.17,2218070.0
2020-09-29,39.11,39.2,38.36,38.74,3124587.0
2020-09-30,38.93,39.64,38.86,39.15,2749533.0
2020-10-01,40.01,40.92,39.62,40.92,5564418.0
2020-10-02,40.18,41.67,40.14,40.82,7361348.0
2020-10-03,40.18,41.67,40.14,40.82,7361348.0
2020-10-04,40.18,41.67,40.14,40.82,7361348.0
2020-10-05,41.42,41.94,39.82,39.97,40773565.0
2020-10-06,41.42,41.94,39.82,39.97,40773565.0
2020-10-07,41.42,41.94,39.82,39.97,40773565.0
2020-10-08,41.42,41.94,39.82,39.97,40773565.0
2020-10-09,41.42,41.94,39.82,39.97,40773565.0
2020-10-10,41.42,41.94,39.82,39.97,40773565.0
2020-10-11,41.42,41.94,39.82,39.97,40773565.0
2020-10-12,41.42,41.94,39.82,39.97,40773565.0
2020-10-13,41.42,41.94,39.82,39.97,40773565.0
2020-10-14,41.42,41.94,39.82,39.97,40773565.0
2020-10-15,41.42,41.94,39.82,39.97,40773565.0
2020-10-16,41.42,41.94,39.82,39.97,40773565.0
2020-10-17,41.42,41.94,39.82,39.97,40773565.0
2020-10-18,41.42,41.94,39.82,39.97,40773565.0
2020-10-19,41.42,41.94,39.82,39.97,40773565.0
2020-10-20,41.42,41.94,39.82,39.97,40773565.0
2020-10-21,41.42,41.94,39.82,39.97,40773565.0
2020-10-22,41.42,41.94,39.82,39.97,40773565.0
2020-10-23,41.42,41.94,39.82,39.97,40773565.0
2020-10-24,41.42,41.94,39.82,39.97,40773565.0
2020-10-25,41.42,41.94,39.82,39.97,40773565.0
2020-10-26,41.42,41.94,39.82,39.97,40773565.0
2020-10-27,41.42,41.94,39.82,39.97,40773565.0
2020-10-28,41.42,41.94,39.82,39.97,40773565.0
2020-10-29,41.42,41.94,39.82,39.97,40773565.0
2020-10-30,41.42,41.94,39.82,39.97,40773565.0
2020-10-31,41.42,41.94,39.82,39.97,40773565.0
2020-11-01,41.42,41.94,39.82,39.97,40773565.0
2020-11-02,41.42,41.94,39.82,39.97,40773565.0
2020-11-03,41.42,41.94,39.82,39.97,40773565.0
2020-11-04,41.42,41.94,39.82,39.97,40773565.0
2020-11-05,41.42,41.94,39.82,39.97,40773565.0
2020-11-06,41.42,41.94,39.82,39.97,40773565.0
2020-11-07,41.42,41.94,39.82,39.97,40773565.0
2020-11-08,41.42,41.94,39.82,39.97,40773565.0
2020-11-09,41.42,41.94,39.82,39.97,40773565.0
2020-11-10,41.42,41.94,39.82,39.97,40773565.0
2020-11-11,41.42,41.94,39.82,39.97,40773565.0
2020-11-12,41.42,41.94,39.82,39.97,40773565.0
2020-11-13,41.42,41.94,39.82,39.97,40773565.0
2020-11-14,41.42,41.94,39.82,39.97,40773565.0
2020-11-15,41.42,41.94,39.82,39.97,40773565.0
2020-11-16,41.42,41.94,39.82,39.97,40773565.0
2020-11-17,41.42,41.94,39.82,39.97,40773565.0
2020-11-18,41.42,41.94,39.82,39.97,40773565.0
2020-11-19,41.42,41.94,39.82,39.97,40773565.0
2020-11-20,41.42,41.94,39.82,39.97,40773565.0
2020-11-21,41.42,41.94,39.82,39.97,40773565.0
2020-11-22,41.42,41.94,39.82,39.97,40773565.0
2020-11-23,41.42,41.94,39.82,39.97,40773565.0
2020-11-24,41.42,41.94,39.82,39.97,40773565.0
2020-11-25,41.42,41.94,39.82,39.97,40773565.0
2020-11-26,41.42,41.94,39.82,39.97,40773565.0
2020-11-27,41.42,41.94,39.82,39.97,40773565.0
2020-11-28,41.42,41.94,39.82,39.97,40773565.0
2020-11-29,41.42,41.94,39.82,39.97,40773565.0
2020-11-30,41.42,41.94,39.82,39.97,40773565.0
2020-12-01,41.42,41.94,39.82,39.97,40773565.0
2020-12-02,41.42,41.94,39.82,39.97,40773565.0
