,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-04-11,30.194,31.0438,30.194,30.3818,85606.0
2022-04-12,30.5695,31.3402,30.4806,30.6387,59646.0
2022-04-13,30.6979,31.2414,30.6979,31.103,50892.0
2022-04-14,31.3204,32.0318,30.7869,30.9351,84908.0
2022-04-15,31.3204,32.0318,30.7869,30.9351,84908.0
2022-04-16,31.3204,32.0318,30.7869,30.9351,84908.0
2022-04-17,31.3204,32.0318,30.7869,30.9351,84908.0
2022-04-18,30.8165,31.2463,30.6189,31.192,112020.0
2022-04-19,31.0734,32.5752,31.0734,32.4961,79374.0
2022-04-20,32.6542,33.0988,32.3677,32.4171,114186.0
2022-04-21,32.753,32.753,31.9132,32.0614,88198.0
2022-04-22,32.0812,32.3479,31.0339,31.0635,61146.0
2022-04-23,32.0812,32.3479,31.0339,31.0635,61146.0
2022-04-24,32.0812,32.3479,31.0339,31.0635,61146.0
2022-04-25,31.0635,31.3797,30.0952,30.9943,80722.0
2022-04-26,30.9795,31.1623,29.8186,29.8186,90755.0
2022-04-27,29.9372,30.6089,29.7791,30.1446,88512.0
2022-04-28,30.1446,31.1475,29.1662,30.5596,108173.0
2022-04-29,30.2929,30.5497,29.1171,29.1863,135893.0
2022-04-30,30.2929,30.5497,29.1171,29.1863,135893.0
2022-05-01,30.2929,30.5497,29.1171,29.1863,135893.0
2022-05-02,29.0776,29.3839,27.9117,28.4057,195797.0
2022-05-03,28.3761,29.0479,28.1983,28.6033,149544.0
2022-05-04,28.7715,28.9496,27.9503,28.5835,173771.0
2022-05-05,28.2373,28.6825,27.0302,27.4655,358597.0
2022-05-06,27.2973,28.0802,27.1291,27.6041,255966.0
2022-05-07,27.2973,28.0802,27.1291,27.6041,255966.0
2022-05-08,27.2973,28.0802,27.1291,27.6041,255966.0
2022-05-09,27.3864,28.2274,26.9511,27.4754,243315.0
2022-05-10,27.6337,28.1334,26.7235,26.9115,155812.0
2022-05-11,26.9708,27.5348,26.585,26.9016,175776.0
2022-05-12,26.7532,27.3814,26.6443,27.3171,170627.0
2022-05-13,27.3963,28.2472,27.2182,28.0295,160082.0
2022-05-14,27.3963,28.2472,27.2182,28.0295,160082.0
2022-05-15,27.3963,28.2472,27.2182,28.0295,160082.0
2022-05-16,27.8514,28.3461,27.7376,27.98,140880.0
2022-05-17,28.4747,28.7419,27.7475,28.4055,116291.0
2022-05-18,28.1086,28.2472,27.05,27.3369,280144.0
2022-05-19,27.2528,27.327,26.6938,26.7433,182042.0
2022-05-20,27.0698,27.0995,25.7836,26.5553,190862.0
2022-05-21,27.0698,27.0995,25.7836,26.5553,190862.0
2022-05-22,27.0698,27.0995,25.7836,26.5553,190862.0
2022-05-23,26.9412,27.2825,26.1942,26.9807,105382.0
2022-05-24,26.9708,27.3963,26.3574,27.3468,135112.0
2022-05-25,27.3122,27.5942,26.8274,27.4853,190130.0
2022-05-26,27.7722,28.2966,27.7624,28.0691,177661.0
2022-05-27,28.3461,29.0436,28.2026,28.4747,91051.0
2022-05-28,28.3461,29.0436,28.2026,28.4747,91051.0
2022-05-29,28.3461,29.0436,28.2026,28.4747,91051.0
2022-05-30,28.3461,29.0436,28.2026,28.4747,91051.0
2022-05-31,28.2373,28.356,27.7722,27.8811,401829.0
2022-06-01,28.0295,28.7122,27.6288,28.4549,135899.0
2022-06-02,28.633,29.286,28.2373,28.7616,130331.0
2022-06-03,28.5539,28.9348,28.445,28.7122,92204.0
2022-06-04,28.5539,28.9348,28.445,28.7122,92204.0
2022-06-05,28.5539,28.9348,28.445,28.7122,92204.0
2022-06-06,29.0189,29.1376,28.727,28.9991,92045.0
2022-06-07,28.7419,29.7708,28.7419,29.4443,177370.0
2022-06-08,29.8302,29.8302,28.3857,28.5835,126458.0
2022-06-09,28.6726,28.9694,28.5638,28.6528,91232.0
2022-06-10,28.0394,28.356,27.891,28.0295,96644.0
2022-06-11,28.0394,28.356,27.891,28.0295,96644.0
2022-06-12,28.0394,28.356,27.891,28.0295,96644.0
2022-06-13,27.5348,28.6132,26.4564,26.6048,101621.0
2022-06-14,26.5751,26.8719,25.9814,26.209,103652.0
2022-06-15,26.6048,26.6839,25.3383,26.2585,130410.0
2022-06-16,25.7638,26.1793,24.7942,25.3383,181101.0
2022-06-17,25.7539,26.7631,25.4472,25.5461,243345.0
2022-06-18,25.7539,26.7631,25.4472,25.5461,243345.0
2022-06-19,25.7539,26.7631,25.4472,25.5461,243345.0
2022-06-20,25.7539,26.7631,25.4472,25.5461,243345.0
2022-06-21,25.7638,26.0507,25.3383,26.0111,417112.0
2022-06-22,25.7143,26.0309,25.3482,25.5659,216084.0
2022-06-23,25.556,26.2189,25.3482,26.1101,124976.0
2022-06-24,26.1892,27.7079,26.1101,26.7235,347682.0
2022-06-25,26.1892,27.7079,26.1101,26.7235,347682.0
2022-06-26,26.1892,27.7079,26.1101,26.7235,347682.0
2022-06-27,26.8917,27.05,26.5355,26.7927,158909.0
2022-06-28,26.9708,27.1687,26.5355,26.7433,99277.0
2022-06-29,26.6344,27.2479,26.2981,27.05,161996.0
2022-06-30,26.6839,27.6733,26.0408,27.3963,118437.0
2022-07-01,27.0896,27.8019,25.329,27.6535,131053.0
2022-07-02,27.0896,27.8019,25.329,27.6535,131053.0
2022-07-03,27.0896,27.8019,25.329,27.6535,131053.0
2022-07-04,27.0896,27.8019,25.329,27.6535,131053.0
2022-07-05,27.1984,28.1977,25.3878,26.6246,152867.0
2022-07-06,26.5256,26.7927,25.8231,26.3277,101904.0
2022-07-07,26.4069,26.9609,26.4069,26.6938,71628.0
2022-07-08,26.7235,26.8818,26.2931,26.486,71860.0
2022-07-09,26.7235,26.8818,26.2931,26.486,71860.0
2022-07-10,26.7235,26.8818,26.2931,26.486,71860.0
2022-07-11,26.3178,26.7809,25.9221,26.3574,84786.0
2022-07-12,26.3673,26.8323,26.0507,26.3673,73280.0
2022-07-13,26.0606,26.1892,25.9419,25.9716,58976.0
2022-07-14,25.4274,25.7737,25.2394,25.6648,103427.0
2022-07-15,26.1595,26.4069,25.7786,26.1892,81849.0
2022-07-16,26.1595,26.4069,25.7786,26.1892,81849.0
2022-07-17,26.1595,26.4069,25.7786,26.1892,81849.0
2022-07-18,26.2486,26.5454,25.7638,25.8924,63144.0
2022-07-19,26.2189,26.9313,23.597,26.674,71026.0
2022-07-20,26.5157,26.7631,26.3772,26.7631,80207.0
2022-07-21,26.7927,27.1885,26.2387,27.1885,48229.0
