,URI US Equity
,BEST_EPS
2023-05-14,42.48
2023-05-15,42.48
2023-05-16,42.521
2023-05-17,42.395
2023-05-18,42.395
2023-05-19,42.395
2023-05-20,42.395
2023-05-21,42.395
2023-05-22,42.395
2023-05-23,42.395
2023-05-24,42.395
2023-05-25,42.395
2023-05-26,42.395
2023-05-27,42.395
2023-05-28,42.395
2023-05-29,42.395
2023-05-30,42.395
2023-05-31,42.2
2023-06-01,42.301
2023-06-02,42.301
2023-06-03,42.301
2023-06-04,42.301
2023-06-05,42.301
2023-06-06,42.301
2023-06-07,42.301
2023-06-08,42.301
2023-06-09,42.301
2023-06-10,42.301
2023-06-11,42.301
2023-06-12,42.301
2023-06-13,42.37
2023-06-14,42.37
