,ROP US Equity
,BEST_EPS
2023-04-30,17.569
2023-05-01,17.255
2023-05-02,17.255
2023-05-03,17.255
2023-05-04,17.255
2023-05-05,17.305
2023-05-06,17.305
2023-05-07,17.305
2023-05-08,17.305
2023-05-09,17.305
2023-05-10,17.316
2023-05-11,17.275
2023-05-12,17.351
2023-05-13,17.351
2023-05-14,17.351
2023-05-15,17.351
2023-05-16,17.351
2023-05-17,17.351
2023-05-18,17.351
2023-05-19,17.351
2023-05-20,17.351
2023-05-21,17.351
2023-05-22,17.351
2023-05-23,17.351
2023-05-24,17.351
2023-05-25,17.351
2023-05-26,17.351
2023-05-27,17.351
2023-05-28,17.351
2023-05-29,17.355
2023-05-30,17.669
2023-05-31,17.669
2023-06-01,17.669
2023-06-02,17.669
2023-06-03,17.669
2023-06-04,17.669
2023-06-05,17.669
2023-06-06,17.669
