,AMGN US Equity
,BEST_EPS
2022-05-11,20.571
2022-05-12,20.601
2022-05-13,20.601
2022-05-14,20.601
2022-05-15,20.601
2022-05-16,20.601
2022-05-17,20.601
2022-05-18,20.588
2022-05-19,20.588
2022-05-20,20.588
2022-05-21,20.588
2022-05-22,20.559
2022-05-23,20.548
2022-05-24,20.548
2022-05-25,20.548
2022-05-26,20.548
2022-05-27,20.548
2022-05-28,20.548
2022-05-29,20.548
2022-05-30,20.548
2022-05-31,20.548
2022-06-01,20.548
2022-06-02,20.563
2022-06-03,20.481
2022-06-04,20.481
2022-06-05,20.481
2022-06-06,20.481
2022-06-07,20.481
2022-06-08,20.481
2022-06-09,20.481
2022-06-10,20.481
2022-06-11,20.481
2022-06-12,20.481
2022-06-13,20.481
2022-06-14,20.481
2022-06-15,20.481
2022-06-16,20.481
2022-06-17,20.481
2022-06-18,20.481
2022-06-19,20.481
2022-06-20,20.481
2022-06-21,20.481
2022-06-22,20.481
2022-06-23,20.481
2022-06-24,20.481
2022-06-25,20.481
2022-06-26,20.481
2022-06-27,20.481
2022-06-28,20.481
2022-06-29,20.481
2022-06-30,20.481
2022-07-01,20.481
2022-07-02,20.481
2022-07-03,20.481
2022-07-04,20.481
2022-07-05,20.481
2022-07-06,20.481
2022-07-07,20.511
2022-07-08,20.511
2022-07-09,20.511
2022-07-10,20.511
2022-07-11,20.546
2022-07-12,20.546
2022-07-13,20.549
2022-07-14,20.303
2022-07-15,20.208
2022-07-16,20.208
2022-07-17,20.19
2022-07-18,20.181
2022-07-19,20.181
2022-07-20,20.17
2022-07-21,20.17
2022-07-22,20.17
2022-07-23,20.17
2022-07-24,20.17
2022-07-25,20.171
2022-07-26,20.171
2022-07-27,20.171
2022-07-28,20.171
2022-07-29,20.171
2022-07-30,20.171
2022-07-31,20.171
2022-08-01,20.171
2022-08-02,20.171
2022-08-03,20.171
2022-08-04,20.581
2022-08-05,20.512
2022-08-06,20.541
2022-08-07,20.541
