,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-12-26,2656.6,2682.7,2654.8,2660.2,2941700.0
2010-12-27,2656.6,2677.3,2652.1,2661.1,2337700.0
2010-12-28,2671.0,2671.9,2655.7,2658.4,1994900.0
2010-12-29,2647.6,2661.1,2640.4,2657.5,2241400.0
2010-12-30,2644.9,2653.9,2616.2,2631.4,3619900.0
2010-12-31,2644.9,2653.9,2616.2,2631.4,3619900.0
2011-01-01,2644.9,2653.9,2616.2,2631.4,3619900.0
2011-01-02,2644.9,2653.9,2616.2,2631.4,3619900.0
2011-01-03,2644.9,2653.9,2616.2,2631.4,3619900.0
2011-01-04,2653.9,2685.4,2645.8,2673.7,3993600.0
2011-01-05,2673.7,2682.7,2657.5,2666.5,3644400.0
2011-01-06,2697.1,2710.6,2690.8,2706.1,5310700.0
2011-01-07,2706.1,2719.5,2697.1,2715.0,3733400.0
2011-01-08,2706.1,2719.5,2697.1,2715.0,3733400.0
2011-01-09,2706.1,2719.5,2697.1,2715.0,3733400.0
2011-01-10,2706.1,2719.5,2697.1,2715.0,3733400.0
2011-01-11,2688.1,2733.0,2675.5,2706.1,5301100.0
2011-01-12,2724.0,2733.0,2691.7,2694.4,3841400.0
2011-01-13,2724.0,2724.0,2665.6,2675.5,6938300.0
2011-01-14,2648.5,2667.4,2639.5,2644.0,7164600.0
2011-01-15,2648.5,2667.4,2639.5,2644.0,7164600.0
2011-01-16,2648.5,2667.4,2639.5,2644.0,7164600.0
2011-01-17,2667.4,2671.9,2634.1,2640.4,3155100.0
2011-01-18,2629.6,2668.3,2628.7,2653.0,3656200.0
2011-01-19,2669.2,2674.6,2652.1,2668.3,3928200.0
2011-01-20,2659.3,2666.5,2635.9,2639.5,4995000.0
2011-01-21,2632.3,2634.1,2528.1,2541.5,10742300.0
2011-01-22,2632.3,2634.1,2528.1,2541.5,10742300.0
2011-01-23,2632.3,2634.1,2528.1,2541.5,10742300.0
2011-01-24,2546.9,2576.6,2524.5,2564.9,4741400.0
2011-01-25,2576.6,2647.6,2576.6,2624.2,7366500.0
2011-01-26,2609.0,2609.0,2573.9,2575.7,5329800.0
2011-01-27,2596.4,2623.3,2578.4,2619.8,4960400.0
2011-01-28,2652.1,2671.9,2604.5,2614.4,8622400.0
2011-01-29,2652.1,2671.9,2604.5,2614.4,8622400.0
2011-01-30,2652.1,2671.9,2604.5,2614.4,8622400.0
2011-01-31,2538.8,2555.9,2534.3,2543.3,5740700.0
2011-02-01,2548.7,2554.1,2525.4,2530.7,4331200.0
2011-02-02,2537.0,2595.5,2532.5,2580.2,7019200.0
2011-02-03,2541.5,2624.2,2522.7,2624.2,9031800.0
2011-02-04,2666.5,2675.5,2617.1,2624.2,8344500.0
2011-02-05,2666.5,2675.5,2617.1,2624.2,8344500.0
2011-02-06,2666.5,2675.5,2617.1,2624.2,8344500.0
2011-02-07,2634.1,2639.5,2575.7,2582.0,7027800.0
2011-02-08,2598.2,2610.8,2582.0,2597.3,4315800.0
2011-02-09,2620.7,2625.1,2591.0,2600.0,4067200.0
