,NUE US Equity
,RETURN_COM_EQY
2022-11-30,55.1891
2022-12-01,55.1891
2022-12-02,55.1891
2022-12-03,55.1891
2022-12-04,55.1891
2022-12-05,55.1891
2022-12-06,55.1891
2022-12-07,55.1891
2022-12-08,55.1891
2022-12-09,55.1891
2022-12-10,55.1891
2022-12-11,55.1891
2022-12-12,55.1891
2022-12-13,55.1891
2022-12-14,55.1891
2022-12-15,55.1891
2022-12-16,55.1891
2022-12-17,55.1891
2022-12-18,55.1891
2022-12-19,55.1891
2022-12-20,55.1891
2022-12-21,55.1891
2022-12-22,55.1891
2022-12-23,55.1891
2022-12-24,55.1891
2022-12-25,55.1891
2022-12-26,55.1891
2022-12-27,55.1891
2022-12-28,55.1891
2022-12-29,55.1891
2022-12-30,55.1891
2022-12-31,46.9044
2023-01-01,46.9044
2023-01-02,46.9044
2023-01-03,46.9044
2023-01-04,46.9044
2023-01-05,46.9044
2023-01-06,46.9044
2023-01-07,46.9044
2023-01-08,46.9044
2023-01-09,46.9044
2023-01-10,46.9044
2023-01-11,46.9044
2023-01-12,46.9044
2023-01-13,46.9044
2023-01-14,46.9044
2023-01-15,46.9044
2023-01-16,46.9044
2023-01-17,46.9044
2023-01-18,46.9044
2023-01-19,46.9044
2023-01-20,46.9044
2023-01-21,46.9044
2023-01-22,46.9044
2023-01-23,46.9044
2023-01-24,46.9044
2023-01-25,46.9044
2023-01-26,46.9044
2023-01-27,46.9044
2023-01-28,46.9044
2023-01-29,46.9044
2023-01-30,46.9044
2023-01-31,46.9044
2023-02-01,46.9044
2023-02-02,46.9044
2023-02-03,46.9044
2023-02-04,46.9044
2023-02-05,46.9044
2023-02-06,46.9044
2023-02-07,46.9044
2023-02-08,46.9044
2023-02-09,46.9044
2023-02-10,46.9044
2023-02-11,46.9044
2023-02-12,46.9044
2023-02-13,46.9044
2023-02-14,46.9044
2023-02-15,46.9044
2023-02-16,46.9044
2023-02-17,46.9044
2023-02-18,46.9044
2023-02-19,46.9044
2023-02-20,46.9044
2023-02-21,46.9044
2023-02-22,46.9044
2023-02-23,46.9044
2023-02-24,46.9044
2023-02-25,46.9044
