,COP US Equity
,RETURN_COM_EQY
2022-05-22,27.835
2022-05-23,27.835
2022-05-24,27.835
2022-05-25,27.835
2022-05-26,27.835
2022-05-27,27.835
2022-05-28,27.835
2022-05-29,27.835
2022-05-30,27.835
2022-05-31,27.835
2022-06-01,27.835
2022-06-02,27.835
2022-06-03,27.835
2022-06-04,27.835
2022-06-05,27.835
2022-06-06,27.835
2022-06-07,27.835
2022-06-08,27.835
2022-06-09,27.835
2022-06-10,27.835
2022-06-11,27.835
2022-06-12,27.835
2022-06-13,27.835
2022-06-14,27.835
2022-06-15,27.835
2022-06-16,27.835
2022-06-17,27.835
2022-06-18,27.835
2022-06-19,27.835
2022-06-20,27.835
2022-06-21,27.835
2022-06-22,27.835
2022-06-23,27.835
2022-06-24,27.835
2022-06-25,27.835
2022-06-26,27.835
2022-06-27,27.835
2022-06-28,27.835
2022-06-29,27.835
2022-06-30,33.6798
2022-07-01,33.6798
2022-07-02,33.6798
2022-07-03,33.6798
2022-07-04,33.6798
2022-07-05,33.6798
2022-07-06,33.6798
2022-07-07,33.6798
2022-07-08,33.6798
2022-07-09,33.6798
2022-07-10,33.6798
2022-07-11,33.6798
2022-07-12,33.6798
2022-07-13,33.6798
2022-07-14,33.6798
2022-07-15,33.6798
2022-07-16,33.6798
2022-07-17,33.6798
2022-07-18,33.6798
2022-07-19,33.6798
2022-07-20,33.6798
2022-07-21,33.6798
2022-07-22,33.6798
2022-07-23,33.6798
2022-07-24,33.6798
2022-07-25,33.6798
2022-07-26,33.6798
2022-07-27,33.6798
2022-07-28,33.6798
2022-07-29,33.6798
2022-07-30,33.6798
2022-07-31,33.6798
2022-08-01,33.6798
2022-08-02,33.6798
2022-08-03,33.6798
2022-08-04,33.6798
2022-08-05,33.6798
2022-08-06,33.6798
2022-08-07,33.6798
2022-08-08,33.6798
2022-08-09,33.6798
2022-08-10,33.6798
2022-08-11,33.6798
2022-08-12,33.6798
2022-08-13,33.6798
2022-08-14,33.6798
2022-08-15,33.6798
2022-08-16,33.6798
2022-08-17,33.6798
2022-08-18,33.6798
2022-08-19,33.6798
2022-08-20,33.6798
2022-08-21,33.6798
2022-08-22,33.6798
2022-08-23,33.6798
2022-08-24,33.6798
2022-08-25,33.6798
2022-08-26,33.6798
2022-08-27,33.6798
2022-08-28,33.6798
2022-08-29,33.6798
2022-08-30,33.6798
2022-08-31,33.6798
2022-09-01,33.6798
2022-09-02,33.6798
2022-09-03,33.6798
2022-09-04,33.6798
2022-09-05,33.6798
2022-09-06,33.6798
2022-09-07,33.6798
2022-09-08,33.6798
2022-09-09,33.6798
2022-09-10,33.6798
2022-09-11,33.6798
2022-09-12,33.6798
2022-09-13,33.6798
2022-09-14,33.6798
2022-09-15,33.6798
2022-09-16,33.6798
2022-09-17,33.6798
2022-09-18,33.6798
2022-09-19,33.6798
2022-09-20,33.6798
2022-09-21,33.6798
2022-09-22,33.6798
2022-09-23,33.6798
2022-09-24,33.6798
2022-09-25,33.6798
2022-09-26,33.6798
2022-09-27,33.6798
2022-09-28,33.6798
2022-09-29,33.6798
2022-09-30,38.7536
2022-10-01,38.7536
2022-10-02,38.7536
2022-10-03,38.7536
2022-10-04,38.7536
2022-10-05,38.7536
2022-10-06,38.7536
2022-10-07,38.7536
2022-10-08,38.7536
2022-10-09,38.7536
2022-10-10,38.7536
2022-10-11,38.7536
2022-10-12,38.7536
2022-10-13,38.7536
2022-10-14,38.7536
2022-10-15,38.7536
2022-10-16,38.7536
2022-10-17,38.7536
2022-10-18,38.7536
2022-10-19,38.7536
2022-10-20,38.7536
2022-10-21,38.7536
2022-10-22,38.7536
2022-10-23,38.7536
2022-10-24,38.7536
2022-10-25,38.7536
2022-10-26,38.7536
2022-10-27,38.7536
2022-10-28,38.7536
2022-10-29,38.7536
2022-10-30,38.7536
2022-10-31,38.7536
2022-11-01,38.7536
2022-11-02,38.7536
2022-11-03,38.7536
2022-11-04,38.7536
2022-11-05,38.7536
2022-11-06,38.7536
2022-11-07,38.7536
2022-11-08,38.7536
2022-11-09,38.7536
2022-11-10,38.7536
2022-11-11,38.7536
2022-11-12,38.7536
2022-11-13,38.7536
2022-11-14,38.7536
2022-11-15,38.7536
2022-11-16,38.7536
2022-11-17,38.7536
2022-11-18,38.7536
2022-11-19,38.7536
2022-11-20,38.7536
2022-11-21,38.7536
2022-11-22,38.7536
2022-11-23,38.7536
2022-11-24,38.7536
2022-11-25,38.7536
2022-11-26,38.7536
2022-11-27,38.7536
2022-11-28,38.7536
2022-11-29,38.7536
2022-11-30,38.7536
2022-12-01,38.7536
2022-12-02,38.7536
2022-12-03,38.7536
2022-12-04,38.7536
2022-12-05,38.7536
2022-12-06,38.7536
2022-12-07,38.7536
2022-12-08,38.7536
2022-12-09,38.7536
2022-12-10,38.7536
2022-12-11,38.7536
2022-12-12,38.7536
2022-12-13,38.7536
2022-12-14,38.7536
2022-12-15,38.7536
2022-12-16,38.7536
2022-12-17,38.7536
2022-12-18,38.7536
2022-12-19,38.7536
2022-12-20,38.7536
2022-12-21,38.7536
2022-12-22,38.7536
2022-12-23,38.7536
2022-12-24,38.7536
2022-12-25,38.7536
2022-12-26,38.7536
2022-12-27,38.7536
2022-12-28,38.7536
2022-12-29,38.7536
2022-12-30,38.7536
2022-12-31,39.9961
2023-01-01,39.9961
2023-01-02,39.9961
2023-01-03,39.9961
2023-01-04,39.9961
2023-01-05,39.9961
2023-01-06,39.9961
2023-01-07,39.9961
2023-01-08,39.9961
2023-01-09,39.9961
2023-01-10,39.9961
2023-01-11,39.9961
2023-01-12,39.9961
2023-01-13,39.9961
2023-01-14,39.9961
2023-01-15,39.9961
2023-01-16,39.9961
2023-01-17,39.9961
2023-01-18,39.9961
2023-01-19,39.9961
2023-01-20,39.9961
2023-01-21,39.9961
2023-01-22,39.9961
2023-01-23,39.9961
2023-01-24,39.9961
2023-01-25,39.9961
2023-01-26,39.9961
2023-01-27,39.9961
2023-01-28,39.9961
2023-01-29,39.9961
2023-01-30,39.9961
2023-01-31,39.9961
2023-02-01,39.9961
2023-02-02,39.9961
2023-02-03,39.9961
2023-02-04,39.9961
2023-02-05,39.9961
2023-02-06,39.9961
2023-02-07,39.9961
2023-02-08,39.9961
2023-02-09,39.9961
2023-02-10,39.9961
2023-02-11,39.9961
2023-02-12,39.9961
2023-02-13,39.9961
2023-02-14,39.9961
2023-02-15,39.9961
2023-02-16,39.9961
2023-02-17,39.9961
2023-02-18,39.9961
2023-02-19,39.9961
2023-02-20,39.9961
2023-02-21,39.9961
2023-02-22,39.9961
2023-02-23,39.9961
2023-02-24,39.9961
2023-02-25,39.9961
2023-02-26,39.9961
2023-02-27,39.9961
2023-02-28,39.9961
2023-03-01,39.9961
2023-03-02,39.9961
2023-03-03,39.9961
2023-03-04,39.9961
