,IFF US Equity
,RSI_30D
2023-02-03,56.761
2023-02-04,56.761
2023-02-05,56.761
2023-02-06,56.004
2023-02-07,56.216
2023-02-08,55.4969
2023-02-09,36.1208
2023-02-10,39.6958
2023-02-11,39.6958
2023-02-12,39.6958
2023-02-13,41.1242
2023-02-14,40.9581
2023-02-15,41.7892
2023-02-16,41.2038
2023-02-17,41.6792
2023-02-18,41.6792
2023-02-19,41.6792
2023-02-20,41.6792
2023-02-21,39.6454
2023-02-22,41.3822
2023-02-23,40.998
2023-02-24,40.203
2023-02-25,40.203
2023-02-26,40.203
2023-02-27,41.0255
2023-02-28,39.9888
2023-03-01,38.7993
2023-03-02,40.4212
2023-03-03,41.3073
2023-03-04,41.3073
2023-03-05,41.3073
2023-03-06,39.7153
2023-03-07,37.6458
2023-03-08,36.8598
2023-03-09,35.4967
2023-03-10,34.5134
2023-03-11,34.5134
2023-03-12,34.5134
2023-03-13,33.8021
2023-03-14,34.6251
2023-03-15,33.587
2023-03-16,34.9279
2023-03-17,34.2416
2023-03-18,34.2416
2023-03-19,34.2416
2023-03-20,35.7806
2023-03-21,36.8454
2023-03-22,35.5704
2023-03-23,37.3624
2023-03-24,38.4065
2023-03-25,38.4065
2023-03-26,38.4065
2023-03-27,45.074
2023-03-28,44.5702
2023-03-29,44.9591
2023-03-30,46.2709
2023-03-31,47.936
2023-04-01,47.936
2023-04-02,47.936
2023-04-03,46.5272
2023-04-04,45.9926
2023-04-05,46.2873
2023-04-06,47.6778
2023-04-07,47.6778
2023-04-08,47.6778
2023-04-09,47.6778
2023-04-10,48.4355
2023-04-11,49.3653
2023-04-12,49.0284
2023-04-13,52.0058
2023-04-14,51.5625
2023-04-15,51.5625
2023-04-16,51.5625
2023-04-17,53.5294
2023-04-18,53.144
2023-04-19,53.7263
2023-04-20,52.1927
2023-04-21,53.3729
2023-04-22,53.3729
2023-04-23,53.3729
2023-04-24,54.2013
2023-04-25,52.0488
2023-04-26,50.4897
2023-04-27,51.56
2023-04-28,53.7786
2023-04-29,53.7786
2023-04-30,53.7786
2023-05-01,53.4333
2023-05-02,52.6037
2023-05-03,49.9571
2023-05-04,51.0547
2023-05-05,52.8635
2023-05-06,52.8635
2023-05-07,52.8635
2023-05-08,53.754
2023-05-09,45.041
2023-05-10,41.4208
2023-05-11,40.1184
2023-05-12,38.1541
2023-05-13,38.1541
2023-05-14,38.1541
2023-05-15,39.8168
2023-05-16,37.0357
2023-05-17,38.6101
2023-05-18,41.1262
2023-05-19,40.6814
2023-05-20,40.6814
2023-05-21,40.6814
2023-05-22,40.423
2023-05-23,40.0749
2023-05-24,37.6292
2023-05-25,35.8919
2023-05-26,35.8919
2023-05-27,35.8919
2023-05-28,35.8919
2023-05-29,35.8919
2023-05-30,35.8491
2023-05-31,35.0538
2023-06-01,34.4606
2023-06-02,39.7353
2023-06-03,39.7353
2023-06-04,39.7353
2023-06-05,39.3366
2023-06-06,41.1404
2023-06-07,41.6183
2023-06-08,40.137
2023-06-09,38.6548
2023-06-10,38.6548
2023-06-11,38.6548
2023-06-12,38.2771
2023-06-13,41.101
2023-06-14,39.6798
2023-06-15,41.4742
2023-06-16,42.7227
2023-06-17,42.7227
2023-06-18,42.7227
2023-06-19,42.7227
2023-06-20,41.4946
2023-06-21,40.3883
2023-06-22,40.2601
2023-06-23,38.2202
2023-06-24,38.2202
2023-06-25,38.2202
2023-06-26,40.6912
2023-06-27,40.4966
2023-06-28,40.6108
2023-06-29,42.3925
2023-06-30,45.1713
2023-07-01,45.1713
2023-07-02,45.1713
2023-07-03,45.3857
2023-07-04,45.3857
2023-07-05,43.9387
2023-07-06,43.2382
2023-07-07,44.1592
2023-07-08,44.1592
2023-07-09,44.1592
2023-07-10,44.2093
2023-07-11,47.1869
2023-07-12,49.027
