,ETR US Equity
,RSI_30D
2022-04-22,62.7308
2022-04-23,62.7308
2022-04-24,62.7308
2022-04-25,60.7011
2022-04-26,57.9167
2022-04-27,57.942
2022-04-28,59.9799
2022-04-29,54.2285
2022-04-30,54.2285
2022-05-01,54.2285
2022-05-02,53.0013
2022-05-03,52.2313
2022-05-04,55.0879
2022-05-05,54.5206
2022-05-06,55.7897
2022-05-07,55.7897
2022-05-08,55.7897
2022-05-09,55.7731
2022-05-10,51.1306
2022-05-11,53.0624
2022-05-12,50.7797
2022-05-13,52.1534
2022-05-14,52.1534
2022-05-15,52.1534
2022-05-16,52.9949
2022-05-17,53.7014
2022-05-18,50.9011
2022-05-19,49.7346
2022-05-20,51.613
2022-05-21,51.613
2022-05-22,51.613
2022-05-23,51.3402
2022-05-24,54.5942
2022-05-25,54.0869
2022-05-26,55.4779
2022-05-27,57.0317
2022-05-28,57.0317
2022-05-29,57.0317
2022-05-30,57.0317
2022-05-31,55.7568
2022-06-01,55.5203
2022-06-02,55.8386
2022-06-03,55.1112
2022-06-04,55.1112
2022-06-05,55.1112
2022-06-06,57.0049
2022-06-07,56.9493
2022-06-08,51.7262
2022-06-09,48.4761
2022-06-10,48.0927
2022-06-11,48.0927
2022-06-12,48.0927
2022-06-13,40.21
2022-06-14,37.7349
2022-06-15,38.5147
2022-06-16,36.6359
2022-06-17,33.5934
2022-06-18,33.5934
2022-06-19,33.5934
2022-06-20,33.5934
2022-06-21,37.1408
2022-06-22,37.0768
2022-06-23,39.0639
2022-06-24,45.5162
2022-06-25,45.5162
2022-06-26,45.5162
2022-06-27,47.2714
2022-06-28,47.1488
2022-06-29,46.9655
2022-06-30,48.2021
2022-07-01,51.479
2022-07-02,51.479
2022-07-03,51.479
2022-07-04,51.479
2022-07-05,45.304
2022-07-06,47.2077
2022-07-07,46.4086
2022-07-08,45.8764
2022-07-09,45.8764
2022-07-10,45.8764
2022-07-11,46.7313
2022-07-12,46.9824
2022-07-13,45.3674
2022-07-14,45.6718
2022-07-15,46.1708
2022-07-16,46.1708
2022-07-17,46.1708
2022-07-18,45.1845
2022-07-19,46.5057
2022-07-20,44.2414
2022-07-21,43.8899
2022-07-22,45.9116
2022-07-23,45.9116
2022-07-24,45.9116
2022-07-25,47.8685
2022-07-26,48.5331
2022-07-27,48.2474
2022-07-28,52.1424
2022-07-29,53.5329
2022-07-30,53.5329
2022-07-31,53.5329
2022-08-01,53.8764
2022-08-02,53.4385
2022-08-03,56.2234
2022-08-04,57.9979
2022-08-05,56.189
2022-08-06,56.189
2022-08-07,56.189
2022-08-08,56.7518
2022-08-09,58.4764
2022-08-10,57.6923
2022-08-11,58.3525
2022-08-12,60.868
2022-08-13,60.868
2022-08-14,60.868
2022-08-15,61.7259
2022-08-16,62.1657
2022-08-17,60.4995
2022-08-18,59.136
2022-08-19,60.4999
2022-08-20,60.4999
2022-08-21,60.4999
2022-08-22,58.7994
2022-08-23,56.8267
2022-08-24,56.4416
2022-08-25,56.5871
2022-08-26,55.8674
2022-08-27,55.8674
2022-08-28,55.8674
2022-08-29,56.5094
2022-08-30,52.1106
2022-08-31,49.706
2022-09-01,52.2361
2022-09-02,51.0016
2022-09-03,51.0016
2022-09-04,51.0016
2022-09-05,51.0016
2022-09-06,50.0983
2022-09-07,55.0408
2022-09-08,53.9631
2022-09-09,55.8551
2022-09-10,55.8551
2022-09-11,55.8551
2022-09-12,58.399
2022-09-13,52.0065
2022-09-14,53.2296
2022-09-15,48.8389
2022-09-16,48.992
2022-09-17,48.992
2022-09-18,48.992
2022-09-19,49.5905
2022-09-20,47.6058
2022-09-21,46.2603
2022-09-22,47.2742
2022-09-23,44.502
2022-09-24,44.502
2022-09-25,44.502
2022-09-26,41.4985
2022-09-27,38.5818
2022-09-28,41.4527
2022-09-29,36.8841
2022-09-30,35.3346
2022-10-01,35.3346
2022-10-02,35.3346
2022-10-03,39.6979
2022-10-04,42.3446
2022-10-05,41.2833
2022-10-06,39.4677
2022-10-07,38.2956
2022-10-08,38.2956
2022-10-09,38.2956
2022-10-10,39.5504
2022-10-11,38.6718
