,DAN US Equity
,RSI_30D
2022-10-06,43.6172
2022-10-07,41.948
2022-10-08,41.948
2022-10-09,41.948
2022-10-10,41.3467
2022-10-11,40.942
2022-10-12,40.873
2022-10-13,42.3795
2022-10-14,41.2912
2022-10-15,41.2912
2022-10-16,41.2912
2022-10-17,44.6257
2022-10-18,46.1608
2022-10-19,44.7227
2022-10-20,43.5839
2022-10-21,45.6825
2022-10-22,45.6825
2022-10-23,45.6825
2022-10-24,48.6044
2022-10-25,51.1154
2022-10-26,51.8455
2022-10-27,57.9776
2022-10-28,56.024
2022-10-29,56.024
2022-10-30,56.024
2022-10-31,57.2815
2022-11-01,57.7094
2022-11-02,55.37
2022-11-03,57.0358
2022-11-04,59.0062
2022-11-05,59.0062
2022-11-06,59.0062
2022-11-07,60.183
2022-11-08,59.7627
2022-11-09,58.2572
2022-11-10,62.6657
2022-11-11,64.4599
2022-11-12,64.4599
2022-11-13,64.4599
2022-11-14,63.7503
2022-11-15,64.0776
2022-11-16,59.8834
2022-11-17,60.2126
2022-11-18,61.4332
2022-11-19,61.4332
2022-11-20,61.4332
2022-11-21,58.8373
2022-11-22,59.1195
2022-11-23,59.2479
2022-11-24,59.2479
2022-11-25,59.1998
2022-11-26,59.1998
2022-11-27,59.1998
2022-11-28,57.3223
2022-11-29,56.655
2022-11-30,57.9218
2022-12-01,57.4258
2022-12-02,56.426
2022-12-03,56.426
2022-12-04,56.426
2022-12-05,53.8094
2022-12-06,52.549
2022-12-07,51.5769
2022-12-08,52.0142
2022-12-09,50.3674
2022-12-10,50.3674
2022-12-11,50.3674
2022-12-12,50.7819
2022-12-13,52.426
2022-12-14,52.6079
2022-12-15,49.1103
2022-12-16,47.9648
2022-12-17,47.9648
2022-12-18,47.9648
2022-12-19,46.3542
2022-12-20,47.0188
2022-12-21,48.639
2022-12-22,45.0329
2022-12-23,45.4461
2022-12-24,45.4461
2022-12-25,45.4461
2022-12-26,45.4461
2022-12-27,45.9193
2022-12-28,44.629
2022-12-29,47.5719
2022-12-30,46.8815
2022-12-31,46.8815
2023-01-01,46.8815
2023-01-02,46.8815
2023-01-03,47.5119
2023-01-04,50.5954
2023-01-05,52.7152
2023-01-06,56.0128
2023-01-07,56.0128
2023-01-08,56.0128
2023-01-09,55.0205
2023-01-10,56.6108
2023-01-11,56.9012
2023-01-12,57.7373
2023-01-13,57.564
2023-01-14,57.564
2023-01-15,57.564
2023-01-16,57.564
2023-01-17,57.8259
2023-01-18,55.4655
2023-01-19,52.1098
2023-01-20,53.9524
2023-01-21,53.9524
2023-01-22,53.9524
2023-01-23,54.783
2023-01-24,53.6702
2023-01-25,54.9021
2023-01-26,54.3843
2023-01-27,56.6853
2023-01-28,56.6853
2023-01-29,56.6853
2023-01-30,54.5923
2023-01-31,58.6305
2023-02-01,61.1553
2023-02-02,61.6029
2023-02-03,61.1775
2023-02-04,61.1775
2023-02-05,61.1775
2023-02-06,60.1948
2023-02-07,61.4364
2023-02-08,60.061
2023-02-09,58.762
2023-02-10,55.6211
2023-02-11,55.6211
2023-02-12,55.6211
2023-02-13,57.484
2023-02-14,57.876
2023-02-15,58.9632
2023-02-16,58.7124
2023-02-17,59.1617
2023-02-18,59.1617
2023-02-19,59.1617
2023-02-20,59.1617
2023-02-21,43.0667
2023-02-22,45.1138
2023-02-23,44.4376
2023-02-24,43.722
2023-02-25,43.722
2023-02-26,43.722
2023-02-27,44.8819
2023-02-28,44.8819
2023-03-01,45.134
2023-03-02,45.8049
2023-03-03,47.7374
2023-03-04,47.7374
2023-03-05,47.7374
2023-03-06,46.8729
2023-03-07,45.7893
