,WNC US Equity
,RSI_30D
2023-09-27,41.0789
2023-09-28,42.8814
2023-09-29,41.726
2023-09-30,41.726
2023-10-01,41.726
2023-10-02,41.274
2023-10-03,40.899
2023-10-04,44.0096
2023-10-05,44.9707
2023-10-06,44.8302
2023-10-07,44.8302
2023-10-08,44.8302
2023-10-09,46.5014
2023-10-10,46.9598
2023-10-11,47.9972
2023-10-12,48.2878
2023-10-13,45.7487
2023-10-14,45.7487
2023-10-15,45.7487
2023-10-16,46.596
2023-10-17,47.0239
2023-10-18,44.2468
2023-10-19,40.511
2023-10-20,42.6402
2023-10-21,42.6402
2023-10-22,42.6402
2023-10-23,40.9887
2023-10-24,42.3619
2023-10-25,41.4547
2023-10-26,44.4103
2023-10-27,42.7812
2023-10-28,42.7812
2023-10-29,42.7812
2023-10-30,44.055
2023-10-31,43.342
2023-11-01,47.2842
2023-11-02,46.6329
2023-11-03,49.3002
2023-11-04,49.3002
2023-11-05,49.3002
2023-11-06,45.7062
2023-11-07,44.2436
2023-11-08,45.2629
2023-11-09,44.0593
2023-11-10,46.9763
2023-11-11,46.9763
2023-11-12,46.9763
2023-11-13,48.5766
2023-11-14,52.5745
2023-11-15,50.3259
2023-11-16,47.2591
2023-11-17,49.3398
2023-11-18,49.3398
2023-11-19,49.3398
2023-11-20,50.1442
2023-11-21,49.5222
2023-11-22,49.4733
2023-11-23,49.4733
2023-11-24,50.0844
2023-11-25,50.0844
2023-11-26,50.0844
2023-11-27,50.6504
2023-11-28,49.0803
2023-11-29,49.0279
2023-11-30,51.3904
2023-12-01,54.139
2023-12-02,54.139
2023-12-03,54.139
2023-12-04,57.8177
2023-12-05,59.5767
2023-12-06,60.2153
