,SNA US Equity
,RSI_30D
2022-10-23,46.9763
2022-10-24,49.7877
2022-10-25,52.671
2022-10-26,51.5667
2022-10-27,50.8572
2022-10-28,53.2386
2022-10-29,53.2386
2022-10-30,53.2386
2022-10-31,54.4841
2022-11-01,54.3762
2022-11-02,53.2611
2022-11-03,53.6088
2022-11-04,57.8321
2022-11-05,57.8321
2022-11-06,57.8321
2022-11-07,57.7999
2022-11-08,57.4495
2022-11-09,56.6517
2022-11-10,60.7546
2022-11-11,59.5956
2022-11-12,59.5956
2022-11-13,59.5956
2022-11-14,59.2152
2022-11-15,60.4104
2022-11-16,58.7883
2022-11-17,58.979
2022-11-18,60.7406
2022-11-19,60.7406
2022-11-20,60.7406
2022-11-21,60.8412
2022-11-22,62.2935
2022-11-23,63.0055
2022-11-24,63.0055
2022-11-25,63.7505
2022-11-26,63.7505
2022-11-27,63.7505
2022-11-28,60.5757
2022-11-29,60.8001
2022-11-30,61.5151
2022-12-01,62.2869
2022-12-02,63.6671
2022-12-03,63.6671
2022-12-04,63.6671
2022-12-05,59.4527
2022-12-06,57.5278
2022-12-07,56.8853
2022-12-08,55.3634
2022-12-09,55.1276
2022-12-10,55.1276
2022-12-11,55.1276
2022-12-12,56.2366
2022-12-13,56.5565
2022-12-14,54.0795
2022-12-15,52.1155
2022-12-16,48.9408
2022-12-17,48.9408
2022-12-18,48.9408
2022-12-19,47.8997
2022-12-20,48.2862
2022-12-21,51.4399
2022-12-22,48.7673
2022-12-23,50.4251
2022-12-24,50.4251
2022-12-25,50.4251
2022-12-26,50.4251
2022-12-27,51.7078
2022-12-28,49.5168
2022-12-29,51.9544
2022-12-30,50.7908
2022-12-31,50.7908
2023-01-01,50.7908
2023-01-02,50.7908
2023-01-03,51.3737
2023-01-04,53.2657
2023-01-05,51.6602
2023-01-06,56.0985
2023-01-07,56.0985
2023-01-08,56.0985
2023-01-09,57.7295
2023-01-10,59.8064
2023-01-11,61.0427
2023-01-12,61.6791
2023-01-13,61.9589
2023-01-14,61.9589
2023-01-15,61.9589
2023-01-16,61.9589
2023-01-17,59.2658
2023-01-18,55.9714
2023-01-19,51.7312
2023-01-20,53.9421
2023-01-21,53.9421
2023-01-22,53.9421
2023-01-23,54.1747
2023-01-24,55.3577
2023-01-25,55.1227
2023-01-26,56.3899
2023-01-27,57.2665
2023-01-28,57.2665
2023-01-29,57.2665
2023-01-30,55.8408
2023-01-31,59.2091
2023-02-01,60.0404
2023-02-02,63.5971
2023-02-03,64.3275
2023-02-04,64.3275
2023-02-05,64.3275
2023-02-06,62.6052
2023-02-07,60.3084
2023-02-08,58.0619
2023-02-09,56.7117
2023-02-10,57.795
2023-02-11,57.795
2023-02-12,57.795
2023-02-13,59.7194
2023-02-14,57.6205
2023-02-15,58.4451
2023-02-16,57.468
2023-02-17,57.344
2023-02-18,57.344
2023-02-19,57.344
2023-02-20,57.344
2023-02-21,52.9833
2023-02-22,52.8897
2023-02-23,54.064
2023-02-24,54.3999
2023-02-25,54.3999
2023-02-26,54.3999
2023-02-27,54.4492
2023-02-28,55.5839
2023-03-01,54.5168
2023-03-02,55.552
2023-03-03,56.2969
2023-03-04,56.2969
2023-03-05,56.2969
2023-03-06,54.8386
2023-03-07,53.8108
2023-03-08,53.8663
2023-03-09,53.7411
2023-03-10,48.481
2023-03-11,48.481
2023-03-12,48.481
