,CVBF US Equity
,RSI_30D
2022-09-12,50.8956
2022-09-13,49.3088
2022-09-14,48.9797
2022-09-15,51.1388
2022-09-16,52.5664
2022-09-17,52.5664
2022-09-18,52.5664
2022-09-19,55.4436
2022-09-20,56.8827
2022-09-21,54.7603
2022-09-22,54.7603
2022-09-23,52.5186
2022-09-24,52.5186
2022-09-25,52.5186
2022-09-26,52.3043
2022-09-27,49.9829
2022-09-28,50.4653
2022-09-29,47.1079
2022-09-30,45.9073
2022-10-01,45.9073
2022-10-02,45.9073
2022-10-03,49.9365
2022-10-04,55.0519
2022-10-05,53.8466
2022-10-06,53.7114
2022-10-07,51.7624
2022-10-08,51.7624
2022-10-09,51.7624
2022-10-10,53.5076
2022-10-11,54.3906
2022-10-12,54.6873
2022-10-13,60.0157
2022-10-14,56.9374
2022-10-15,56.9374
2022-10-16,56.9374
2022-10-17,59.978
2022-10-18,59.5636
2022-10-19,58.0427
2022-10-20,58.2931
2022-10-21,49.9646
2022-10-22,49.9646
2022-10-23,49.9646
2022-10-24,52.7087
2022-10-25,54.6969
2022-10-26,55.453
2022-10-27,58.1193
2022-10-28,60.7552
2022-10-29,60.7552
2022-10-30,60.7552
2022-10-31,61.6906
2022-11-01,58.5622
2022-11-02,56.1273
2022-11-03,56.0153
2022-11-04,58.9013
2022-11-05,58.9013
2022-11-06,58.9013
2022-11-07,58.0895
2022-11-08,57.9126
2022-11-09,57.9126
2022-11-10,60.8478
2022-11-11,56.1509
2022-11-12,56.1509
2022-11-13,56.1509
2022-11-14,54.047
2022-11-15,53.5152
2022-11-16,51.2708
2022-11-17,51.9017
2022-11-18,53.8966
2022-11-19,53.8966
2022-11-20,53.8966
2022-11-21,55.356
2022-11-22,56.8571
2022-11-23,55.2738
2022-11-24,55.2738
2022-11-25,56.087
2022-11-26,56.087
2022-11-27,56.087
2022-11-28,54.6035
2022-11-29,55.7218
2022-11-30,57.3521
2022-12-01,56.4561
2022-12-02,56.9203
2022-12-03,56.9203
2022-12-04,56.9203
2022-12-05,50.9131
2022-12-06,50.9632
2022-12-07,49.5524
2022-12-08,49.3431
2022-12-09,47.5257
2022-12-10,47.5257
2022-12-11,47.5257
2022-12-12,48.1466
2022-12-13,45.3223
2022-12-14,41.8737
2022-12-15,42.4105
2022-12-16,41.2714
2022-12-17,41.2714
2022-12-18,41.2714
2022-12-19,43.5632
2022-12-20,43.3789
2022-12-21,46.2047
2022-12-22,44.8539
2022-12-23,45.5595
2022-12-24,45.5595
2022-12-25,45.5595
2022-12-26,45.5595
2022-12-27,45.6793
2022-12-28,44.9572
2022-12-29,46.5191
2022-12-30,44.5823
2022-12-31,44.5823
2023-01-01,44.5823
2023-01-02,44.5823
2023-01-03,42.1765
2023-01-04,41.561
2023-01-05,39.7602
2023-01-06,42.5342
2023-01-07,42.5342
2023-01-08,42.5342
2023-01-09,41.225
2023-01-10,40.9456
2023-01-11,41.896
2023-01-12,44.9719
2023-01-13,45.9789
2023-01-14,45.9789
2023-01-15,45.9789
2023-01-16,45.9789
2023-01-17,45.8163
2023-01-18,41.2389
2023-01-19,40.1891
2023-01-20,42.2393
2023-01-21,42.2393
2023-01-22,42.2393
2023-01-23,41.5268
2023-01-24,40.2168
2023-01-25,39.6621
2023-01-26,38.296
2023-01-27,38.6602
2023-01-28,38.6602
2023-01-29,38.6602
2023-01-30,38.4256
2023-01-31,40.9471
2023-02-01,41.8883
2023-02-02,48.3713
2023-02-03,49.142
2023-02-04,49.142
2023-02-05,49.142
2023-02-06,47.6697
2023-02-07,49.0662
2023-02-08,47.088
2023-02-09,43.995
2023-02-10,43.9444
2023-02-11,43.9444
2023-02-12,43.9444
2023-02-13,43.9444
2023-02-14,41.9312
2023-02-15,42.5594
2023-02-16,42.5065
2023-02-17,43.8061
2023-02-18,43.8061
2023-02-19,43.8061
2023-02-20,43.8061
2023-02-21,41.5909
2023-02-22,44.224
2023-02-23,43.5651
2023-02-24,44.4919
2023-02-25,44.4919
2023-02-26,44.4919
2023-02-27,43.6925
2023-02-28,42.2346
2023-03-01,43.3625
2023-03-02,42.2807
2023-03-03,43.8814
2023-03-04,43.8814
2023-03-05,43.8814
2023-03-06,41.7701
2023-03-07,38.3166
2023-03-08,38.2677
2023-03-09,31.5994
2023-03-10,32.8106
2023-03-11,32.8106
2023-03-12,32.8106
2023-03-13,23.3862
2023-03-14,30.1118
2023-03-15,29.1145
2023-03-16,32.5026
2023-03-17,29.9629
2023-03-18,29.9629
2023-03-19,29.9629
2023-03-20,29.7403
2023-03-21,33.0341
2023-03-22,30.5994
2023-03-23,29.1798
2023-03-24,28.9929
2023-03-25,28.9929
2023-03-26,28.9929
2023-03-27,29.6661
2023-03-28,29.2905
2023-03-29,28.9778
2023-03-30,27.8363
2023-03-31,29.4939
2023-04-01,29.4939
2023-04-02,29.4939
2023-04-03,29.3776
2023-04-04,28.621
2023-04-05,28.7396
2023-04-06,29.166
2023-04-07,29.166
2023-04-08,29.166
2023-04-09,29.166
2023-04-10,29.0376
2023-04-11,28.7496
2023-04-12,28.3269
2023-04-13,29.9257
2023-04-14,28.1145
2023-04-15,28.1145
2023-04-16,28.1145
2023-04-17,31.0154
2023-04-18,29.3543
2023-04-19,32.4232
2023-04-20,31.4618
2023-04-21,31.0694
2023-04-22,31.0694
