,AEP US Equity
,RSI_30D
2023-01-04,52.7901
2023-01-05,49.996
2023-01-06,53.9786
2023-01-07,53.9786
2023-01-08,53.9786
2023-01-09,55.8566
2023-01-10,54.7658
2023-01-11,55.2382
2023-01-12,53.2335
2023-01-13,50.7801
2023-01-14,50.7801
2023-01-15,50.7801
2023-01-16,50.7801
2023-01-17,50.81
2023-01-18,47.236
2023-01-19,46.0947
2023-01-20,46.9676
2023-01-21,46.9676
2023-01-22,46.9676
2023-01-23,47.7616
2023-01-24,47.8276
2023-01-25,47.2871
2023-01-26,48.3904
2023-01-27,48.5297
2023-01-28,48.5297
2023-01-29,48.5297
2023-01-30,48.1933
2023-01-31,50.1419
2023-02-01,51.3404
2023-02-02,51.1561
2023-02-03,46.9044
2023-02-04,46.9044
2023-02-05,46.9044
2023-02-06,47.6242
2023-02-07,47.2504
2023-02-08,44.1543
2023-02-09,42.5161
2023-02-10,46.489
2023-02-11,46.489
2023-02-12,46.489
2023-02-13,47.4688
2023-02-14,46.4744
2023-02-15,47.2982
2023-02-16,46.9247
2023-02-17,50.0939
2023-02-18,50.0939
2023-02-19,50.0939
2023-02-20,50.0939
2023-02-21,47.4216
2023-02-22,47.3713
2023-02-23,47.1816
2023-02-24,46.6892
2023-02-25,46.6892
2023-02-26,46.6892
2023-02-27,46.05
2023-02-28,42.5358
2023-03-01,40.1083
2023-03-02,43.4861
2023-03-03,45.627
2023-03-04,45.627
2023-03-05,45.627
2023-03-06,46.164
2023-03-07,44.9503
2023-03-08,46.2734
2023-03-09,45.3643
2023-03-10,43.3572
