,MXL US Equity
,RSI_30D
2023-01-28,60.8313
2023-01-29,60.8313
2023-01-30,58.973
2023-01-31,60.0769
2023-02-01,63.0726
2023-02-02,58.4674
2023-02-03,57.4199
2023-02-04,57.4199
2023-02-05,57.4199
2023-02-06,53.8281
2023-02-07,56.0556
2023-02-08,53.8815
2023-02-09,52.4239
2023-02-10,50.6823
2023-02-11,50.6823
2023-02-12,50.6823
2023-02-13,50.8391
2023-02-14,50.379
2023-02-15,50.4902
2023-02-16,49.7972
2023-02-17,49.4462
2023-02-18,49.4462
2023-02-19,49.4462
2023-02-20,49.4462
2023-02-21,44.5384
2023-02-22,44.3375
2023-02-23,46.199
2023-02-24,45.4917
2023-02-25,45.4917
2023-02-26,45.4917
2023-02-27,45.7066
2023-02-28,45.1904
2023-03-01,46.2227
2023-03-02,45.8729
2023-03-03,46.957
2023-03-04,46.957
2023-03-05,46.957
2023-03-06,46.6486
2023-03-07,46.0231
2023-03-08,48.0873
2023-03-09,46.2778
2023-03-10,43.396
2023-03-11,43.396
2023-03-12,43.396
2023-03-13,42.9381
2023-03-14,45.7505
2023-03-15,43.6053
2023-03-16,46.7738
2023-03-17,46.434
2023-03-18,46.434
2023-03-19,46.434
2023-03-20,48.6804
2023-03-21,49.8237
2023-03-22,47.2479
2023-03-23,49.4039
2023-03-24,48.7934
2023-03-25,48.7934
2023-03-26,48.7934
2023-03-27,47.4344
2023-03-28,46.5067
2023-03-29,48.1389
2023-03-30,48.5564
2023-03-31,49.5141
2023-04-01,49.5141
2023-04-02,49.5141
2023-04-03,49.1448
2023-04-04,47.8298
2023-04-05,47.4382
2023-04-06,46.0168
2023-04-07,46.0168
2023-04-08,46.0168
2023-04-09,46.0168
2023-04-10,47.9929
2023-04-11,46.264
2023-04-12,41.3715
2023-04-13,43.0723
2023-04-14,42.1766
2023-04-15,42.1766
2023-04-16,42.1766
2023-04-17,43.2124
2023-04-18,42.5851
2023-04-19,42.1967
2023-04-20,43.0452
2023-04-21,42.2749
2023-04-22,42.2749
2023-04-23,42.2749
2023-04-24,41.0916
2023-04-25,38.0609
2023-04-26,38.427
2023-04-27,30.4277
2023-04-28,30.339
2023-04-29,30.339
2023-04-30,30.339
2023-05-01,31.5182
2023-05-02,30.7772
2023-05-03,31.2635
2023-05-04,30.2335
2023-05-05,31.6012
2023-05-06,31.6012
2023-05-07,31.6012
2023-05-08,31.6641
2023-05-09,30.9996
2023-05-10,32.9093
2023-05-11,32.8138
2023-05-12,32.9815
2023-05-13,32.9815
2023-05-14,32.9815
2023-05-15,36.3355
2023-05-16,36.4645
2023-05-17,40.6622
2023-05-18,43.6302
2023-05-19,46.6306
2023-05-20,46.6306
2023-05-21,46.6306
2023-05-22,47.9248
2023-05-23,46.5288
2023-05-24,44.1928
2023-05-25,46.9726
2023-05-26,49.9571
2023-05-27,49.9571
2023-05-28,49.9571
2023-05-29,49.9571
2023-05-30,49.6794
2023-05-31,48.768
2023-06-01,47.2061
2023-06-02,47.9667
2023-06-03,47.9667
2023-06-04,47.9667
2023-06-05,45.3744
2023-06-06,45.5332
2023-06-07,48.6733
2023-06-08,47.9698
2023-06-09,49.1606
2023-06-10,49.1606
2023-06-11,49.1606
2023-06-12,51.7378
2023-06-13,52.8345
2023-06-14,51.5707
2023-06-15,52.1028
2023-06-16,52.7136
2023-06-17,52.7136
2023-06-18,52.7136
2023-06-19,52.7136
2023-06-20,54.583
2023-06-21,51.9414
2023-06-22,50.1551
2023-06-23,48.1207
2023-06-24,48.1207
2023-06-25,48.1207
2023-06-26,46.9436
2023-06-27,50.2815
2023-06-28,49.367
2023-06-29,53.8062
2023-06-30,54.4403
2023-07-01,54.4403
2023-07-02,54.4403
2023-07-03,55.4651
2023-07-04,55.4651
2023-07-05,52.3546
2023-07-06,50.2647
2023-07-07,51.8149
2023-07-08,51.8149
2023-07-09,51.8149
2023-07-10,53.5797
2023-07-11,54.4749
2023-07-12,57.4364
