,BY US Equity
,RSI_30D
2022-06-21,46.1528
2022-06-22,46.2696
2022-06-23,45.1057
2022-06-24,47.3685
2022-06-25,47.3685
2022-06-26,47.3685
2022-06-27,47.1042
2022-06-28,47.3473
2022-06-29,46.4636
2022-06-30,46.4076
2022-07-01,47.9017
2022-07-02,47.9017
2022-07-03,47.9017
2022-07-04,47.9017
2022-07-05,48.1617
2022-07-06,47.548
2022-07-07,48.6314
2022-07-08,47.6763
2022-07-09,47.6763
2022-07-10,47.6763
2022-07-11,47.6763
2022-07-12,47.0176
2022-07-13,44.9611
2022-07-14,41.6078
2022-07-15,47.7598
2022-07-16,47.7598
2022-07-17,47.7598
2022-07-18,47.2859
2022-07-19,49.798
2022-07-20,48.9321
2022-07-21,49.2581
2022-07-22,48.9349
2022-07-23,48.9349
2022-07-24,48.9349
2022-07-25,50.5459
2022-07-26,54.4483
2022-07-27,57.1678
2022-07-28,55.7621
2022-07-29,51.2037
2022-07-30,51.2037
2022-07-31,51.2037
2022-08-01,47.054
2022-08-02,42.914
2022-08-03,42.775
2022-08-04,40.3411
2022-08-05,43.7155
2022-08-06,43.7155
2022-08-07,43.7155
2022-08-08,44.8926
2022-08-09,44.8926
2022-08-10,48.414
2022-08-11,49.7216
2022-08-12,52.3755
2022-08-13,52.3755
2022-08-14,52.3755
2022-08-15,51.8206
2022-08-16,50.9826
2022-08-17,48.4947
2022-08-18,50.3474
2022-08-19,49.3747
2022-08-20,49.3747
2022-08-21,49.3747
2022-08-22,46.1947
2022-08-23,45.0332
2022-08-24,43.2521
2022-08-25,44.4484
2022-08-26,43.1772
2022-08-27,43.1772
2022-08-28,43.1772
2022-08-29,40.892
2022-08-30,41.3329
2022-08-31,40.1813
2022-09-01,39.7844
2022-09-02,39.4707
2022-09-03,39.4707
2022-09-04,39.4707
2022-09-05,39.4707
2022-09-06,37.8816
2022-09-07,39.8307
2022-09-08,40.1775
2022-09-09,42.6396
2022-09-10,42.6396
2022-09-11,42.6396
2022-09-12,44.3509
2022-09-13,41.0836
2022-09-14,40.8051
2022-09-15,42.1571
2022-09-16,41.0892
2022-09-17,41.0892
2022-09-18,41.0892
2022-09-19,43.9596
2022-09-20,43.4503
2022-09-21,43.2946
2022-09-22,42.0983
2022-09-23,40.6339
2022-09-24,40.6339
2022-09-25,40.6339
2022-09-26,40.3833
2022-09-27,38.4693
2022-09-28,38.3728
2022-09-29,37.0278
2022-09-30,35.7322
2022-10-01,35.7322
2022-10-02,35.7322
2022-10-03,37.5879
2022-10-04,43.1275
2022-10-05,42.4008
2022-10-06,41.9309
2022-10-07,39.4675
2022-10-08,39.4675
2022-10-09,39.4675
