,SIVBQ US Equity
,RSI_30D
2023-06-09,19.9029
2023-06-10,19.9029
2023-06-11,19.9029
2023-06-12,19.9019
2023-06-13,19.9125
2023-06-14,19.9633
2023-06-15,20.1814
2023-06-16,20.1594
2023-06-17,20.1594
2023-06-18,20.1594
2023-06-19,20.1594
2023-06-20,20.1571
2023-06-21,20.1353
2023-06-22,20.1299
2023-06-23,20.1564
2023-06-24,20.1564
2023-06-25,20.1564
2023-06-26,20.1761
2023-06-27,20.2217
2023-06-28,20.398
2023-06-29,20.4161
2023-06-30,20.3912
2023-07-01,20.3912
2023-07-02,20.3912
2023-07-03,20.3797
2023-07-04,20.3797
2023-07-05,20.4257
2023-07-06,20.4228
2023-07-07,20.4594
2023-07-08,20.4594
2023-07-09,20.4594
2023-07-10,20.4492
2023-07-11,20.466
2023-07-12,20.4554
2023-07-13,20.5934
2023-07-14,20.5902
2023-07-15,20.5902
2023-07-16,20.5902
2023-07-17,20.5663
2023-07-18,20.5155
2023-07-19,20.5619
2023-07-20,20.5433
2023-07-21,20.5062
2023-07-22,20.5062
2023-07-23,20.5062
2023-07-24,20.5595
2023-07-25,20.6576
2023-07-26,20.6292
2023-07-27,20.6152
2023-07-28,20.6145
