,CLX US Equity
,BEST_DIV_YLD
2023-01-13,3.521
2023-01-14,3.521
2023-01-15,3.521
2023-01-16,3.521
2023-01-17,3.476
2023-01-18,3.589
2023-01-19,3.68
2023-01-20,3.609
2023-01-21,3.609
2023-01-22,3.609
2023-01-23,3.601
2023-01-24,3.619
2023-01-25,3.606
2023-01-26,3.596
2023-01-27,3.631
2023-01-28,3.631
2023-01-29,3.631
2023-01-30,3.589
2023-01-31,3.526
2023-02-01,3.533
2023-02-02,3.617
2023-02-03,3.31
2023-02-04,3.31
2023-02-05,3.31
2023-02-06,3.358
2023-02-07,3.378
2023-02-08,3.395
2023-02-09,3.414
2023-02-10,3.404
2023-02-11,3.404
2023-02-12,3.404
2023-02-13,3.351
2023-02-14,3.356
2023-02-15,3.333
2023-02-16,3.35
2023-02-17,3.338
2023-02-18,3.338
2023-02-19,3.338
2023-02-20,3.338
2023-02-21,3.321
2023-02-22,3.32
2023-02-23,3.346
2023-02-24,3.33
2023-02-25,3.33
2023-02-26,3.33
2023-02-27,3.308
2023-02-28,3.3
2023-03-01,3.316
2023-03-02,3.278
2023-03-03,3.291
2023-03-04,3.291
2023-03-05,3.291
2023-03-06,3.374
2023-03-07,3.372
2023-03-08,3.386
2023-03-09,3.428
2023-03-10,3.411
2023-03-11,3.411
2023-03-12,3.411
2023-03-13,3.385
2023-03-14,3.33
2023-03-15,3.275
2023-03-16,3.307
2023-03-17,3.325
2023-03-18,3.325
2023-03-19,3.325
2023-03-20,3.273
2023-03-21,3.267
2023-03-22,3.311
2023-03-23,3.312
2023-03-24,3.251
2023-03-25,3.251
2023-03-26,3.251
2023-03-27,3.246
2023-03-28,3.27
2023-03-29,3.293
2023-03-30,3.316
2023-03-31,3.236
2023-04-01,3.236
2023-04-02,3.236
2023-04-03,3.261
2023-04-04,3.279
2023-04-05,3.247
2023-04-06,3.24
2023-04-07,3.24
2023-04-08,3.24
2023-04-09,3.24
2023-04-10,3.236
2023-04-11,3.212
2023-04-12,3.251
2023-04-13,3.203
2023-04-14,3.218
2023-04-15,3.218
2023-04-16,3.218
2023-04-17,3.22
2023-04-18,3.173
2023-04-19,3.172
2023-04-20,3.125
2023-04-21,3.081
2023-04-22,3.081
2023-04-23,3.081
2023-04-24,3.082
2023-04-25,3.066
2023-04-26,3.093
2023-04-27,3.042
2023-04-28,3.052
2023-04-29,3.052
2023-04-30,3.052
2023-05-01,3.025
2023-05-02,3.014
2023-05-03,2.892
2023-05-04,2.969
2023-05-05,2.995
2023-05-06,2.995
2023-05-07,2.995
2023-05-08,3.038
2023-05-09,3.021
2023-05-10,3.014
2023-05-11,3.001
2023-05-12,3.003
2023-05-13,3.003
2023-05-14,3.003
2023-05-15,3.041
2023-05-16,3.006
2023-05-17,3.042
2023-05-18,3.058
2023-05-19,3.044
2023-05-20,3.044
2023-05-21,3.044
2023-05-22,3.11
2023-05-23,3.16
2023-05-24,3.172
2023-05-25,3.198
2023-05-26,3.183
2023-05-27,3.183
2023-05-28,3.183
2023-05-29,3.183
2023-05-30,3.227
2023-05-31,3.202
2023-06-01,3.193
2023-06-02,3.138
2023-06-03,3.138
2023-06-04,3.138
2023-06-05,3.12
2023-06-06,3.194
2023-06-07,3.231
2023-06-08,3.217
2023-06-09,3.215
2023-06-10,3.215
2023-06-11,3.215
2023-06-12,3.234
2023-06-13,3.221
2023-06-14,3.272
2023-06-15,3.25
2023-06-16,3.218
2023-06-17,3.218
2023-06-18,3.218
2023-06-19,3.218
2023-06-20,3.24
2023-06-21,3.223
2023-06-22,3.211
2023-06-23,3.226
2023-06-24,3.226
2023-06-25,3.226
2023-06-26,3.212
2023-06-27,3.157
2023-06-28,3.209
2023-06-29,3.19
2023-06-30,3.167
2023-07-01,3.167
2023-07-02,3.167
2023-07-03,3.141
2023-07-04,3.141
2023-07-05,3.149
2023-07-06,3.151
2023-07-07,3.188
2023-07-08,3.188
2023-07-09,3.188
2023-07-10,3.219
2023-07-11,3.253
2023-07-12,3.242
2023-07-13,3.259
2023-07-14,3.259
2023-07-15,3.259
2023-07-16,3.259
2023-07-17,3.281
2023-07-18,3.27
2023-07-19,3.255
2023-07-20,3.258
2023-07-21,3.233
2023-07-22,3.233
2023-07-23,3.233
2023-07-24,3.246
2023-07-25,3.292
2023-07-26,3.277
2023-07-27,3.339
2023-07-28,3.273
2023-07-29,3.273
2023-07-30,3.273
2023-07-31,3.325
2023-08-01,3.32
2023-08-02,3.305
2023-08-03,3.003
2023-08-04,3.042
2023-08-05,3.042
