,POOL US Equity
,BEST_DIV_YLD
2022-09-08,1.496
2022-09-09,1.484
2022-09-10,1.484
2022-09-11,1.484
2022-09-12,1.478
2022-09-13,1.576
2022-09-14,1.6
2022-09-15,1.609
2022-09-16,1.593
2022-09-17,1.593
2022-09-18,1.593
2022-09-19,1.561
2022-09-20,1.616
2022-09-21,1.629
2022-09-22,1.678
2022-09-23,1.691
2022-09-24,1.691
2022-09-25,1.691
2022-09-26,1.694
2022-09-27,1.663
2022-09-28,1.605
2022-09-29,1.673
2022-09-30,1.66
2022-10-01,1.66
2022-10-02,1.66
2022-10-03,1.612
2022-10-04,1.588
2022-10-05,1.597
2022-10-06,1.607
2022-10-07,1.643
2022-10-08,1.643
2022-10-09,1.643
2022-10-10,1.637
2022-10-11,1.654
2022-10-12,1.666
2022-10-13,1.642
2022-10-14,1.721
2022-10-15,1.721
2022-10-16,1.721
2022-10-17,1.659
2022-10-18,1.657
2022-10-19,1.772
2022-10-20,1.869
2022-10-21,1.865
2022-10-22,1.865
2022-10-23,1.865
2022-10-24,1.814
2022-10-25,1.779
2022-10-26,1.736
2022-10-27,1.746
2022-10-28,1.666
2022-10-29,1.666
2022-10-30,1.666
2022-10-31,1.746
2022-11-01,1.737
2022-11-02,1.799
2022-11-03,1.821
2022-11-04,1.815
2022-11-05,1.815
2022-11-06,1.815
2022-11-07,1.746
2022-11-08,1.726
2022-11-09,1.762
2022-11-10,1.56
2022-11-11,1.507
2022-11-12,1.507
2022-11-13,1.507
2022-11-14,1.553
2022-11-15,1.529
2022-11-16,1.569
2022-11-17,1.656
2022-11-18,1.644
2022-11-19,1.644
2022-11-20,1.644
2022-11-21,1.653
2022-11-22,1.622
2022-11-23,1.593
2022-11-24,1.593
2022-11-25,1.61
2022-11-26,1.61
2022-11-27,1.61
2022-11-28,1.679
2022-11-29,1.65
2022-11-30,1.607
2022-12-01,1.566
2022-12-02,1.602
2022-12-03,1.602
2022-12-04,1.602
2022-12-05,1.654
2022-12-06,1.665
2022-12-07,1.603
2022-12-08,1.563
2022-12-09,1.555
2022-12-10,1.555
2022-12-11,1.555
2022-12-12,1.554
2022-12-13,1.534
2022-12-14,1.537
2022-12-15,1.608
2022-12-16,1.644
2022-12-17,1.644
2022-12-18,1.644
2022-12-19,1.67
2022-12-20,1.694
2022-12-21,1.651
2022-12-22,1.687
2022-12-23,1.684
2022-12-24,1.684
2022-12-25,1.684
2022-12-26,1.684
2022-12-27,1.682
2022-12-28,1.736
2022-12-29,1.677
2022-12-30,1.702
2022-12-31,1.702
2023-01-01,1.702
2023-01-02,1.702
2023-01-03,1.711
2023-01-04,1.691
2023-01-05,1.699
2023-01-06,1.632
2023-01-07,1.632
2023-01-08,1.632
2023-01-09,1.619
2023-01-10,1.548
2023-01-11,1.468
2023-01-12,1.451
2023-01-13,1.442
2023-01-14,1.442
2023-01-15,1.442
2023-01-16,1.442
2023-01-17,1.422
2023-01-18,1.399
2023-01-19,1.46
2023-01-20,1.427
2023-01-21,1.427
2023-01-22,1.427
2023-01-23,1.401
2023-01-24,1.382
2023-01-25,1.385
2023-01-26,1.381
2023-01-27,1.327
2023-01-28,1.327
2023-01-29,1.327
2023-01-30,1.337
2023-01-31,1.305
2023-02-01,1.264
2023-02-02,1.192
2023-02-03,1.247
2023-02-04,1.247
2023-02-05,1.247
2023-02-06,1.284
2023-02-07,1.284
2023-02-08,1.307
2023-02-09,1.335
2023-02-10,1.363
2023-02-11,1.363
2023-02-12,1.363
2023-02-13,1.343
2023-02-14,1.341
2023-02-15,1.309
2023-02-16,1.272
2023-02-17,1.286
2023-02-18,1.286
2023-02-19,1.286
2023-02-20,1.286
2023-02-21,1.334
2023-02-22,1.334
2023-02-23,1.323
2023-02-24,1.339
2023-02-25,1.339
2023-02-26,1.339
2023-02-27,1.34
2023-02-28,1.337
2023-03-01,1.369
2023-03-02,1.352
2023-03-03,1.319
2023-03-04,1.319
2023-03-05,1.319
2023-03-06,1.335
2023-03-07,1.344
2023-03-08,1.338
2023-03-09,1.341
2023-03-10,1.343
2023-03-11,1.343
2023-03-12,1.343
2023-03-13,1.352
2023-03-14,1.331
2023-03-15,1.349
2023-03-16,1.335
2023-03-17,1.365
2023-03-18,1.365
2023-03-19,1.365
2023-03-20,1.361
2023-03-21,1.346
2023-03-22,1.396
2023-03-23,1.435
2023-03-24,1.435
2023-03-25,1.435
2023-03-26,1.435
2023-03-27,1.468
2023-03-28,1.471
2023-03-29,1.428
2023-03-30,1.437
2023-03-31,1.407
2023-04-01,1.407
2023-04-02,1.407
2023-04-03,1.42
2023-04-04,1.471
2023-04-05,1.497
2023-04-06,1.476
2023-04-07,1.476
2023-04-08,1.476
2023-04-09,1.476
2023-04-10,1.437
2023-04-11,1.393
2023-04-12,1.443
2023-04-13,1.415
2023-04-14,1.459
2023-04-15,1.459
2023-04-16,1.459
2023-04-17,1.428
2023-04-18,1.421
2023-04-19,1.422
2023-04-20,1.404
2023-04-21,1.359
2023-04-22,1.359
2023-04-23,1.359
